CUI1,CUI2
"('Surgery specialty', 'C0038894')","('Adult Alveolar Soft Part Sarcoma', 'C0279544')"
"('Broken skin', 'C0150077')","('Adult Hepatocellular Carcinoma', 'C0279607')"
"('Range', 'C1514721')","('Malignant Neoplasm of Lung - Multiple Primary Sites', 'C4528576')"
"('Physical Medical Procedure', 'C3274430')","('Stage II Gastric and Omental Gastrointestinal Stromal Tumor AJCC v8', 'C4526968')"
"('Primary malignant neoplasm', 'C1306459')","('Digestive System Hodgkin Lymphoma', 'C1333797')"
"('Increased', 'C0205217')","('Regional Urothelial Carcinoma of the Renal Pelvis and Ureter', 'C0280281')"
"('Percent (qualifier value)', 'C0439165')","('Mucinous cystadenofibroma', 'C1377844')"
"('Tryptophanase', 'C0041260')","('Cerebral hemangioma', 'C0877388')"
"('Generation (action)', 'C3146294')","('Regional Urothelial Carcinoma of the Renal Pelvis and Ureter', 'C0280281')"
"('Set scale', 'C1442518')","('Mucinous adenocarcinoma gastric', 'C1334809')"
"('defects aspect', 'C0243067')","('Intermediate Grade Salivary Gland Mucoepidermoid Carcinoma', 'C0279742')"
"('Smear - instruction imperative', 'C1947932')","('Endometrial Small Cell Carcinoma', 'C1516858')"
"('Negation', 'C1518422')","('Acantholytic squamous cell carcinoma', 'C0334250')"
"('radiotherapeutic', 'C0034619')","('Malignant neoplasm of thalamus', 'C0346902')"
"('Neuroendocrine Tumors', 'C0206754')","('Refractory Barrett Esophagus', 'C4763736')"
"('cns lymphoma', 'C0742472')","('Recurrent Nasal Cavity and Paranasal Sinus Carcinoma', 'C4721428')"
"('Forecast of outcome', 'C0033325')","('Localized Ewing Sarcoma', 'C0863029')"
"('Work', 'C0043227')","('Testicular cancer metastatic', 'C1096715')"
"('Object Class', 'C1518526')","('Neonatal leukemia', 'C0235813')"
"('Esophageal pH Monitoring', 'C0430701')","('Undifferentiated Neuroblastoma', 'C1519787')"
"('Shortened', 'C1282927')","('Stage IV Childhood Non-Hodgkin Lymphoma', 'C2986680')"
"('Knowledge', 'C0376554')","('Human Papillomavirus-Related Carcinoma', 'C1334050')"
"('Treatment Epoch', 'C3538994')","('Stage IVA Lip and Oral Cavity Cancer AJCC v8', 'C4331337')"
"('10%', 'C3842590')","('Uterine Cancer', 'C0153567')"
"('2+ Score, WHO', 'C2981700')","('Neonatal leukemia', 'C0235813')"
"('Persons', 'C0027361')","('Ovarian Carcinoid Tumor', 'C1335153')"
"('Contain (action)', 'C2700400')","('Mastocytosis', 'C0024899')"
"('Specimen Type - Macrophages', 'C1550652')","('Stage IB Pancreatic Cancer AJCC v8', 'C4521874')"
"('Etiology aspects', 'C0015127')","('Childhood Cerebellar Neoplasm', 'C1332959')"
"('Financial Account', 'C2981730')","('Regional Urothelial Carcinoma of the Renal Pelvis and Ureter', 'C0280281')"
"('Cure (remedy)', 'C1880198')","('Splenic Manifestation of B-Cell Prolymphocytic Leukemia', 'C1336061')"
"('Child', 'C0008059')","('mucinous adenocarcinoma of gallbladder', 'C1333750')"
"('Occur (action)', 'C1709305')","('Maxillary Sinus Adenocarcinoma', 'C1334642')"
"('90 - 100%', 'C3842503')","('Chronic Myelomonocytic Leukemia-2', 'C1333044')"
"('Much', 'C4281574')","('Stage IVA Lip and Oral Cavity Cancer AJCC v8', 'C4331337')"
"('Chemotherapy', 'C3665472')","('embryonal rhabdomyosarcoma of prostate', 'C1335508')"
"('Pelvis', 'C0030797')","('Intraepithelial Melanocytic Hyperplasia', 'C1334256')"
"('Use of', 'C1524063')","('Recurrent Uveal Melanoma', 'C0278870')"
"('Persistent embryonic structure', 'C0332996')","('Stage II Gastric and Omental Gastrointestinal Stromal Tumor AJCC v8', 'C4526968')"
"('Pathological Dilatation', 'C0012359')","('Medulloblastoma, WNT-Activated', 'C4331965')"
"('Mammals', 'C0024660')","('Primary Cutaneous Plasmablastic Lymphoma', 'C1709659')"
"('Hemorrhage', 'C0019080')","('Anterior Urethral Malignant Neoplasm', 'C0279930')"
"('Tissue of urinary bladder', 'C1282131')","('Small Lymphocytic Lymphoma with Immunoglobulin Heavy Chain Variable-Region Gene Somatic Hypermutation', 'C1336011')"
"('Manufactured form', 'C0376315')","('Small Lymphocytic Lymphoma with Immunoglobulin Heavy Chain Variable-Region Gene Somatic Hypermutation', 'C1336011')"
"('Times', 'C1632851')","('Pancreatic Intraepithelial Neoplasia-3', 'C2987145')"
"('Analysis of substances', 'C0002778')","('Grade 3a Malignant Neoplasm', 'C1333848')"
"('Removal of bladder', 'C3496631')","('Choroid Necrotic Melanoma', 'C1333026')"
"('65', 'C0450385')","('Undifferentiated Endocervical Sarcoma', 'C1519782')"
"('Pure Spanish horse breed (organism)', 'C3669034')","('Undifferentiated Endocervical Sarcoma', 'C1519782')"
"('Entity', 'C1551338')","('Epipodophyllotoxin-Related Myelodysplastic Syndrome', 'C1333418')"
"('Most', 'C0205393')","('Childhood Central Nervous System Immature Teratoma', 'C1332954')"
"('Term Birth', 'C0233324')","('Mixed parotid tumor', 'C0345604')"
"('Subject Risk', 'C4552904')","('Diffuse malignant mesothelioma', 'C0392400')"
"('Reaching', 'C2584321')","('Metastatic Neoplasm to the Gallbladder', 'C0686112')"
"('Oropharyngeal Carcinoma', 'C2349952')","('squamous cell carcinoma of the thyroid gland', 'C1710177')"
"('Smear - instruction imperative', 'C1947932')","('Metastatic Carcinoma in the Lung', 'C0238254')"
"('More', 'C0205172')","('sarcoma of spinal cord', 'C1336049')"
"('Obesity', 'C0028754')","('Thymic Clear Cell Carcinoma', 'C1333069')"
"('depend', 'C0725813')","('Childhood Fibrillary Astrocytoma', 'C3899662')"
"('Time (foundation metadata concept)', 'C3541383')","('Undifferentiated Endocervical Sarcoma', 'C1519782')"
"('Time', 'C0040223')","('Undifferentiated Endocervical Sarcoma', 'C1519782')"
"('Exposure to radiation', 'C0015333')","('Heavy Chain Deposition Disease', 'C1333947')"
"('Type A', 'C4264487')","('Stage IB Pancreatic Cancer AJCC v8', 'C4521874')"
"('Body tissue', 'C0040300')","('Unfavorable Non-Hodgkin Lymphoma', 'C2349020')"
"('Young Adult', 'C0238598')","('Precursor T-lymphoblastic lymphoma/leukemia stage III', 'C0854862')"
"('Abnormally high', 'C1299351')","('Localized Askin Tumor', 'C1321778')"
"('Levels (qualifier value)', 'C0441889')","('mucinous adenocarcinoma of gallbladder', 'C1333750')"
"('alpha 1-Antitrypsin Deficiency', 'C0221757')","('Recurrent Testicular Lymphoma', 'C4527330')"
"('Therapeutic radiology procedure', 'C1522449')","('Pancreatic Intraepithelial Neoplasia-3', 'C2987145')"
"('Multiple Partners', 'C0026767')","('Testicular cancer metastatic', 'C1096715')"
"('Administration procedure', 'C1533734')","('Metastatic Malignant Neoplasm in the Sellar Region', 'C4744378')"
"('Make - Instruction Imperative', 'C1881534')","('Recurrent Testicular Lymphoma', 'C4527330')"
"('Agreement', 'C0680240')","('Mucinous adenocarcinoma gastric', 'C1334809')"
"('Two', 'C0205448')","('Testicular cancer metastatic', 'C1096715')"
"('Two', 'C0205448')","('Cartilaginous exostosis', 'C0029423')"
"('Established', 'C0443211')","('Stage III Adult Immunoblastic Lymphoma', 'C0280164')"
"('Less often', 'C3843156')","('Breast Ductal Adenoma', 'C1511307')"
"('International Classification of Diseases', 'C0870733')","('Lung squamous cell carcinoma stage I', 'C0854991')"
"('New', 'C0205314')","('Acantholytic squamous cell carcinoma', 'C0334250')"
"('Population Mean', 'C2347634')","('Pancreatic Intraepithelial Neoplasia-3', 'C2987145')"
"('90%', 'C3842582')","('Stage III Adult Immunoblastic Lymphoma', 'C0280164')"
"('Malignant neoplasm of skin', 'C0007114')","('Cancer of Urinary Tract', 'C0751571')"
"('Cell (compartment)', 'C1948049')","('Stage III Gastric Neuroendocrine Tumor AJCC v8', 'C4525587')"
"('therapeutic aspects', 'C0039798')","('Clonal Hematopoiesis of Indeterminate Potential', 'C4761612')"
"('Togo', 'C0040363')","('Posterior Pharyngeal Wall Squamous Cell Carcinoma', 'C1335451')"
"('Genus Cygnus', 'C0325528')","('Stage IB Pancreatic Cancer AJCC v8', 'C4521874')"
"('Clinical Effectiveness', 'C3850123')","('High Grade Glandular Intraepithelial Neoplasia', 'C1334014')"
"('Including (qualifier)', 'C0332257')","('Undifferentiated Neuroblastoma', 'C1519787')"
"('adaptive', 'C0231193')","('Intestinal Metaplasia of Bladder Urothelium', 'C1512907')"
"('Anatomic Site', 'C1515974')","('Pancreatic Intraepithelial Neoplasia-3', 'C2987145')"
"('Diagnosis Study', 'C1704656')","('Malignant neoplasm of choroid', 'C0153630')"
"('Germ cell tumor', 'C0205851')","('Intracortical osteosarcoma', 'C1266166')"
"('True primary (qualifier value)', 'C0439612')","('Primary Cutaneous Plasmablastic Lymphoma', 'C1709659')"
"('More', 'C0205172')","('Diffuse malignant mesothelioma', 'C0392400')"
"('control aspects', 'C0243148')","('Xeroderma pigmentosum, variant type', 'C1848410')"
"('General surgery specialty', 'C1274039')","('Localized Askin Tumor', 'C1321778')"
"('Basis - conceptual entity', 'C1527178')","('Stage IB Pancreatic Cancer AJCC v8', 'C4521874')"
"('Source', 'C0449416')","('Diffuse malignant mesothelioma', 'C0392400')"
"('Tryptophanase', 'C0041260')","('Stage IVA Lip and Oral Cavity Cancer AJCC v8', 'C4331337')"
"('heart inflammation', 'C0744673')","('FIGO Stage II Ovarian Cancer', 'C0278686')"
"('Percent Activity', 'C0439167')","('Acute Myeloid Leukemia with t(6;11)(q27;q23); KMT2A-MLLT4', 'C4329275')"
"('Infratentorial', 'C0441939')","('Stage III Adult Immunoblastic Lymphoma', 'C0280164')"
"('500', 'C3816747')","('Pathologic Stage IA Cutaneous Melanoma AJCC v8', 'C4527178')"
"('Compresses (device)', 'C0180053')","('Colorectal High Grade B-Cell Lymphoma, Not Otherwise Specified', 'C3272825')"
"('United States Military Commissioned Officer O4', 'C4521762')","('Thyroid Gland Carcinoma Showing Thymus-Like Differentiation', 'C1704613')"
"('Childhood Neuroblastoma', 'C4086165')","('Nodular Lymphocyte Predominant Hodgkin Lymphoma', 'C1332210')"
"('Palliative Care', 'C0030231')","('Mucinous adenocarcinoma gastric', 'C1334809')"
"('Major', 'C0205164')","('Noninfiltrating Intraductal Carcinoma', 'C0007124')"
"('Science of Etiology', 'C1524003')","('Botryoid-Type Embryonal Rhabdomyosarcoma', 'C1306573')"
"('59', 'C3830128')","('Stage II Gastric and Omental Gastrointestinal Stromal Tumor AJCC v8', 'C4526968')"
"('Infantile hemangioma', 'C4317089')","('Malignant melanoma of eyelid', 'C0339116')"
"('error', 'C0743559')","('Recurrent Ph-Like Acute Lymphoblastic Leukemia', 'C4525406')"
"('Simulate composite resin', 'C0284447')","('Stage IB Pancreatic Cancer AJCC v8', 'C4521874')"
"('Approximate', 'C0332232')","('Childhood Fibrillary Astrocytoma', 'C3899662')"
"('Arising in', 'C0332284')","('Acantholytic squamous cell carcinoma', 'C0334250')"
"('Poor - grade value', 'C0542537')","('Benign neoplasm of thorax', 'C0346440')"
"('Bladder Cancer Pathway', 'C2984270')","('Cartilaginous exostosis', 'C0029423')"
"('Occur (action)', 'C1709305')","('Acute lymphadenitis', 'C0157705')"
"('Highest', 'C1522410')","('Giant cell angiofibroma', 'C1367539')"
"('Biomaterial Treatment', 'C1705169')","('Neonatal leukemia', 'C0235813')"
"('Scientific Control', 'C1882979')","('Noninfiltrating Intraductal Carcinoma', 'C0007124')"
"('PSA Level Greater than Fifty', 'C4084918')","('Mucinous adenocarcinoma gastric', 'C1334809')"
"('Experimental Result', 'C2825142')","('Small Lymphocytic Lymphoma with Immunoglobulin Heavy Chain Variable-Region Gene Somatic Hypermutation', 'C1336011')"
"('Exposure to asbestos', 'C0003948')","('Posterior Pharyngeal Wall Squamous Cell Carcinoma', 'C1335451')"
"('include - SetOperator', 'C1552866')","('FIGO Stage II Ovarian Cancer', 'C0278686')"
"('Options', 'C1518601')","('Bladder squamous cell carcinoma stage I', 'C0855188')"
"('United States', 'C0041703')","('Grade 1 Clear Cell Renal Cell Carcinoma', 'C1333829')"
"('Negative Charge', 'C2825491')","('Stage IVA Lip and Oral Cavity Cancer AJCC v8', 'C4331337')"
"('Malignant tumor of cervix', 'C0007847')","('Testicular cancer metastatic', 'C1096715')"
"('Suspected diagnosis', 'C0332147')","('Childhood Choriocarcinoma', 'C4086155')"
"('List', 'C0745732')","('Adult Hepatocellular Carcinoma', 'C0279607')"
"('combination - answer to question', 'C3811910')","('Pathologic Stage IA Cutaneous Melanoma AJCC v8', 'C4527178')"
"('Usual', 'C3538928')","('adenosquamous carcinoma of breast', 'C1510796')"
"('Macrophage count', 'C1294065')","('Extra-Adrenal Paraganglioma', 'C0030422')"
"('Usually', 'C3888388')","('Carcinoma of urinary bladder, superficial', 'C1336527')"
"('Cumulative Survival Rate', 'C0010456')","('gliosarcoma', 'C0206726')"
"('Papillomaviridae', 'C0949793')","('Splenic Manifestation of B-Cell Prolymphocytic Leukemia', 'C1336061')"
"('Free of (attribute)', 'C0332296')","('BRCA2 Syndrome', 'C1332443')"
"('Deferred', 'C0205421')","('Blepharal carcinoma', 'C0920196')"
"('Scientific Publication', 'C1704324')","('Germinoma', 'C0206660')"
"('International Classification of Diseases', 'C0870733')","('Stage II Gastric and Omental Gastrointestinal Stromal Tumor AJCC v8', 'C4526968')"
"('Swollen Lymph Node', 'C4282165')","('Recurrent Nasal Cavity and Paranasal Sinus Carcinoma', 'C4721428')"
"('Neoplasms', 'C0027651')","('Maxillary Sinus Adenocarcinoma', 'C1334642')"
"('Reside', 'C2982691')","('malignant lymphoma of pancreatic lymph nodes', 'C1335307')"
"('Body structure', 'C1268086')","('Recurrent Testicular Lymphoma', 'C4527330')"
"('Table Cell Horizontal Align - left', 'C1552822')","('Grade 3a Malignant Neoplasm', 'C1333848')"
"('depend', 'C0725813')","('Acute Undifferentiated Leukemia', 'C0280141')"
"('Rare', 'C0522498')","('Endometrial Small Cell Carcinoma', 'C1516858')"
"('% Ercs', 'C0439179')","('Testicular cancer metastatic', 'C1096715')"
"('Epithelial ovarian cancer', 'C0677886')","('Lipoma of small intestine', 'C1336001')"
"('Income', 'C0021162')","('Benign tumor of eyelid', 'C0339107')"
"('Nucleotide Excision Repair', 'C0524550')","('Leptomeningeal sarcoma', 'C1384416')"
"('New Zealand Rabbits', 'C0324547')","('Cancer of Urinary Tract', 'C0751571')"
"('include - SetOperator', 'C1552866')","('Botryoid-Type Embryonal Rhabdomyosarcoma', 'C1306573')"
"('Type A', 'C4264487')","('Malignant neoplasm of choroid', 'C0153630')"
"('radiotherapeutic', 'C0034619')","('Cancer of Urinary Tract', 'C0751571')"
"('Case unit dose', 'C1533148')","('Acute Undifferentiated Leukemia', 'C0280141')"
"('Case (situation)', 'C0868928')","('Recurrent Ph-Like Acute Lymphoblastic Leukemia', 'C4525406')"
"('Primary', 'C0205225')","('Sarcomatoid Renal Cell Carcinoma', 'C1266043')"
"('Course', 'C0750729')","('Bladder squamous cell carcinoma stage I', 'C0855188')"
"('Specimen Source Codes - Lesion', 'C1546698')","('Mucinous adenocarcinoma gastric', 'C1334809')"
"('radiotherapeutic', 'C0034619')","('FIGO Stage II Ovarian Cancer', 'C0278686')"
"('Tryptophanase', 'C0041260')","('Recurrent Uveal Melanoma', 'C0278870')"
"('<50', 'C3843766')","('Adult Brain Stem Mixed Glioma', 'C1377915')"
"('Immunotherapy for cancer', 'C0278348')","('Hemangioma, Cavernous, Central Nervous System', 'C0752160')"
"('Secretory Vesicles', 'C0886515')","('Carcinoma of urinary bladder, superficial', 'C1336527')"
"('Medical Imaging', 'C0025086')","('Locally Advanced Soft Tissue Sarcoma', 'C4727772')"
"('Route of Administration - Mucous Membrane', 'C1549524')","('Carcinoma of urinary bladder, superficial', 'C1336527')"
"('DNA', 'C0012854')","('Botryoid-Type Embryonal Rhabdomyosarcoma', 'C1306573')"
"('Platelets, CTCAE', 'C1963076')","('Carcinoma of urinary bladder, superficial', 'C1336527')"
"('Therapeutic procedure', 'C0087111')","('Botryoid-Type Embryonal Rhabdomyosarcoma', 'C1306573')"
"('Endodermal', 'C0521461')","('Testicular cancer metastatic', 'C1096715')"
"('Hormonal', 'C0458083')","('Refractory Barrett Esophagus', 'C4763736')"
"('rituximab', 'C0393022')","('Thymic Atypical Carcinoid Tumor', 'C1710396')"
"('Solitary leiomyoma', 'C0349528')","('Posterior Pharyngeal Wall Squamous Cell Carcinoma', 'C1335451')"
"('Qualitative form', 'C0348078')","('Colorectal Neuroendocrine Tumor G2', 'C3272614')"
"('Approximate', 'C0332232')","('Tonsillar Carcinoma', 'C0558355')"
"('treatment - ActInformationManagementReason', 'C3887704')","('Rhabdomyosarcoma with ganglionic differentiation', 'C0431111')"
"('therapeutic aspects', 'C0039798')","('Posterior Pharyngeal Wall Squamous Cell Carcinoma', 'C1335451')"
"('Histology Procedure', 'C0344441')","('Anterior Urethral Malignant Neoplasm', 'C0279930')"
"('Tumor cells, malignant', 'C0334227')","('Malignant neoplasm of thalamus', 'C0346902')"
"('Acute leukemia', 'C0085669')","('Recurrent Testicular Lymphoma', 'C4527330')"
"('Continuance of life', 'C0038952')","('Chronic Myelomonocytic Leukemia-2', 'C1333044')"
"('Diagnosis', 'C0011900')","('Malignant melanoma of eyelid', 'C0339116')"
"('Derived value', 'C3245521')","('Ovarian germ cell choriocarcinoma stage IV', 'C0854944')"
"('Togo', 'C0040363')","('Noninfiltrating Intraductal Carcinoma', 'C0007124')"
"('macromolecule', 'C0178735')","('Splenic Manifestation of B-Cell Prolymphocytic Leukemia', 'C1336061')"
"('Treating', 'C1522326')","('Intestinal Metaplasia of Bladder Urothelium', 'C1512907')"
"('Cervical dysplasia', 'C0007868')","('Splenic Manifestation of B-Cell Prolymphocytic Leukemia', 'C1336061')"
"('Cells', 'C0007634')","('Lung squamous cell carcinoma stage I', 'C0854991')"
"('Western Europe', 'C0043129')","('embryonal rhabdomyosarcoma of prostate', 'C1335508')"
"('Biomaterial Treatment', 'C1705169')","('Epipodophyllotoxin-Related Myelodysplastic Syndrome', 'C1333418')"
"('Renal collecting tube', 'C1516697')","('Mucinous adenocarcinoma gastric', 'C1334809')"
"('Cerebellar Hypoplasia', 'C0266470')","('Chronic Myelomonocytic Leukemia-2', 'C1333044')"
"('Primary malignant neoplasm', 'C1306459')","('malignant lymphoma of pancreatic lymph nodes', 'C1335307')"
"('Body tissue', 'C0040300')","('Small cell neuroendocrine carcinoma of bladder', 'C1332564')"
"('Common (qualifier value)', 'C0205214')","('Adult Alveolar Soft Part Sarcoma', 'C0279544')"
"('Effective', 'C1704419')","('Botryoid-Type Embryonal Rhabdomyosarcoma', 'C1306573')"
"('Substance', 'C0439861')","('Pathologic Stage IA Cutaneous Melanoma AJCC v8', 'C4527178')"
"('Esophageal Stricture', 'C4551650')","('Undifferentiated Endocervical Sarcoma', 'C1519782')"
"('Due to', 'C0678226')","('Posterior Pharyngeal Wall Squamous Cell Carcinoma', 'C1335451')"
"('Slightly Able', 'C4321403')","('Human Papillomavirus-Related Carcinoma', 'C1334050')"
"('melanoma', 'C0025202')","('Acute lymphadenitis', 'C0157705')"
"('status - In progress', 'C1272688')","('Epipodophyllotoxin-Related Myelodysplastic Syndrome', 'C1333418')"
"('human AVP protein', 'C1098706')","('Cerebral Primitive Neuroectodermal Tumor', 'C0751675')"
"('survival aspects', 'C0220921')","('benign mature teratoma of pancreas', 'C2063869')"
"('Exposure to', 'C0332157')","('BRCA2 Syndrome', 'C1332443')"
"('Microcyst', 'C1513269')","('Hodgkin lymphoma, nodular sclerosis, cellular phase', 'C0334627')"
"('Aspect (characteristic)', 'C1879746')","('adenosquamous carcinoma of breast', 'C1510796')"
"('Metastasis', 'C4255448')","('Undifferentiated Neuroblastoma', 'C1519787')"
"('High risk', 'C4319571')","('embryonal rhabdomyosarcoma of prostate', 'C1335508')"
"('combination of objects', 'C1947911')","('Liver Lymphangioma', 'C3273073')"
"('common procedures', 'C0695341')","('Regional Urothelial Carcinoma of the Renal Pelvis and Ureter', 'C0280281')"
"('high - ActExposureLevelCode', 'C3887512')","('Grade 3a Malignant Neoplasm', 'C1333848')"
"('pregnancy related', 'C0747919')","('Adrenal Rest Tumor', 'C0001630')"
"('Incidental Findings', 'C0743997')","('Cerebral Primitive Neuroectodermal Tumor', 'C0751675')"
"('Feel Pain', 'C4554132')","(""non-Hodgkin's lymphoma of spleen"", 'C1336071')"
"('include - SetOperator', 'C1552866')","('Chronic Myelomonocytic Leukemia-2', 'C1333044')"
"('combination - answer to question', 'C3811910')","('BRCA2 Syndrome', 'C1332443')"
"('Vaginal wall', 'C0447612')","('Malignant Neoplasm of Lung - Multiple Primary Sites', 'C4528576')"
"('The Cancer Genome Atlas', 'C3273927')","('Xeroderma pigmentosum, variant type', 'C1848410')"
"('NCI CTEP SDC Penile Cancer Sub-Category Terminology', 'C3539940')","('Acantholytic squamous cell carcinoma', 'C0334250')"
"('biopsy characteristics', 'C0220797')","('Adult Lymphocyte-Depleted Classical Hodgkin Lymphoma', 'C0279540')"
"('year', 'C0439234')","('Primary Cutaneous Plasmablastic Lymphoma', 'C1709659')"
"('Term (temporal)', 'C1515273')","('Stage IV Childhood Non-Hodgkin Lymphoma', 'C2986680')"
"('Rare', 'C0522498')","('Stage IV Penile Cancer AJCC v7', 'C2987499')"
"('Persons', 'C0027361')","('Uterine Cancer', 'C0153567')"
"('Abdomen+', 'C4299167')","('Precursor T-lymphoblastic lymphoma/leukemia stage III', 'C0854862')"
"('Sore sensation', 'C1455785')","('Collecting Duct Carcinoma of the Kidney', 'C1266044')"
"('diagnosis aspect', 'C1704338')","('Cancer of Urinary Tract', 'C0751571')"
"('Itchiness', 'C3840668')","('Benign tumor of eyelid', 'C0339107')"
"('Fatigue', 'C0015672')","('Stage I Gastric Neuroendocrine Tumor AJCC v8', 'C4525585')"
"('Woman', 'C0043210')","('Intraepithelial Melanocytic Hyperplasia', 'C1334256')"
"('Entity Determiner - specific', 'C1552740')","('Hodgkin lymphoma, nodular sclerosis, cellular phase', 'C0334627')"
"('Methods', 'C0025663')","('Recurrent Nasal Cavity and Paranasal Sinus Carcinoma', 'C4721428')"
"('Deterioration of status', 'C1279889')","('Ovarian Carcinoid Tumor', 'C1335153')"
"('Lower (action)', 'C2003888')","('Diffuse malignant mesothelioma', 'C0392400')"
"('Able (finding)', 'C1299581')","('Refractory Barrett Esophagus', 'C4763736')"
"('therapeutic aspects', 'C0039798')","('Acantholytic squamous cell carcinoma', 'C0334250')"
"('Good', 'C0205170')","('Human Papillomavirus-Related Carcinoma', 'C1334050')"
"('Symptoms aspect', 'C0683368')","('Intraepithelial Melanocytic Hyperplasia', 'C1334256')"
"('Tryptophanase', 'C0041260')","('Neoplasms, Unknown Primary', 'C0027667')"
"('Slightly Able', 'C4321403')","('Malignant Neoplasm of Lung - Multiple Primary Sites', 'C4528576')"
"('One', 'C0205447')","('Platinum-Resistant Lung Small Cell Carcinoma', 'C4764254')"
"('cancer risk', 'C0596244')","('Pathologic Stage IA Cutaneous Melanoma AJCC v8', 'C4527178')"
"('Uterus', 'C0042149')","('Posterior Pharyngeal Wall Squamous Cell Carcinoma', 'C1335451')"
"('Recipient', 'C1709854')","('Stage IVA Lip and Oral Cavity Cancer AJCC v8', 'C4331337')"
"('Symptoms', 'C1457887')","('Carcinoma of urinary bladder, superficial', 'C1336527')"
"('100%', 'C3817553')","('Recurrent Uveal Melanoma', 'C0278870')"
"('Estimated', 'C0750572')","('Cerebral Primitive Neuroectodermal Tumor', 'C0751675')"
"('various other nasal preparations in ATC', 'C3540761')","('benign mature teratoma of pancreas', 'C2063869')"
"('Highest', 'C1522410')","('Thymic Atypical Carcinoid Tumor', 'C1710396')"
"('Persons', 'C0027361')","('Malignant Testicular Sertoli Cell Tumor', 'C1334626')"
"('Endodermal', 'C0521461')","('Hodgkin lymphoma, nodular sclerosis, cellular phase', 'C0334627')"
"('Experimental Result', 'C2825142')","('Acute Myeloid Leukemia with t(6;11)(q27;q23); KMT2A-MLLT4', 'C4329275')"
"('Acquisition (action)', 'C1706701')","('Pilocytic astrocytoma of cerebellum', 'C0349620')"
"('Primary', 'C0205225')","('Deep Leiomyoma', 'C1333266')"
"('Pelvic Pain, CTCAE 5.0', 'C4554551')","('Colorectal Neuroendocrine Tumor G2', 'C3272614')"
"('T-Cell Receptor', 'C0034790')","('Hodgkin lymphoma, nodular sclerosis, cellular phase', 'C0334627')"
"('Genetic Heterogeneity', 'C0242960')","('Angiosarcoma of liver', 'C0345907')"
"('Form:Finding:Point in time:{Setting}:Document:{Role}', 'C4255237')","('Stage II Hepatocellular Carcinoma AJCC v6 and v7', 'C4520991')"
"('Malignant lymphoma, lymphocytic, intermediate differentiation, diffuse', 'C0334634')","('Diffuse malignant mesothelioma', 'C0392400')"
"('Cell (compartment)', 'C1948049')","('Familial Hemophagocytic Lymphocytosis', 'C0272199')"
"('Continuance of life', 'C0038952')","('Cartilaginous exostosis', 'C0029423')"
"('risk factors - observation list', 'C1553898')","('Tonsillar Carcinoma', 'C0558355')"
"('2+ Score, WHO', 'C2981700')","('Splenic Manifestation of B-Cell Prolymphocytic Leukemia', 'C1336061')"
"('Disease', 'C0012634')","('Neonatal leukemia', 'C0235813')"
"('Feelings', 'C1527305')","('BRCA2 Syndrome', 'C1332443')"
"('Benign', 'C0205183')","('Cancer of Urinary Tract', 'C0751571')"
"('Negative Finding', 'C1513916')","('Colorectal cancer, hereditary nonpolyposis, type 1', 'C2936783')"
"('Teens', 'C1521910')","('Regional Urothelial Carcinoma of the Renal Pelvis and Ureter', 'C0280281')"
"('Lymphocyte component of blood', 'C4018897')","('Uterine Cancer', 'C0153567')"
"('Dermatologic disorders', 'C0037274')","('Small cell neuroendocrine carcinoma of bladder', 'C1332564')"
"('Biopsy', 'C0005558')","('Granular Cell Leiomyosarcoma', 'C1333871')"
"('Involvement with', 'C1314939')","('Stage III Adult Immunoblastic Lymphoma', 'C0280164')"
"('include - SetOperator', 'C1552866')","('Human Papillomavirus-Related Carcinoma', 'C1334050')"
"('Complication', 'C0009566')","('Precursor T-lymphoblastic lymphoma/leukemia stage III', 'C0854862')"
"('Have Weight Loss', 'C4084774')","('Bladder squamous cell carcinoma stage I', 'C0855188')"
"('combination of objects', 'C1947911')","('Carcinoma of urinary bladder, superficial', 'C1336527')"
"('Malignant neoplasm of large intestine', 'C0346629')","('Leiomyoma of Gallbladder', 'C1333745')"
"('Liver carcinoma', 'C2239176')","('Stage IB Lung Cancer AJCC v7', 'C1336138')"
"('Fever', 'C0015967')","('Chronic Myelomonocytic Leukemia-2', 'C1333044')"
"('operate <remove>', 'C3244314')","('Childhood Thyroid Gland Follicular Carcinoma', 'C4086176')"
"('1+ Score, WHO', 'C2981698')","('Localized Askin Tumor', 'C1321778')"
"('Scaly skin', 'C0423773')","('Benign Apocrine Neoplasm', 'C1332473')"
"('various other intestinal adsorbents in ATC', 'C3540769')","('Metastatic Malignant Neoplasm in the Sellar Region', 'C4744378')"
"('Asymptomatic', 'C0231221')","('Vaginal Non-Keratinizing Squamous Cell Carcinoma', 'C1519927')"
"('Numbers', 'C0237753')","('Cartilaginous exostosis', 'C0029423')"
"('Irritant (disposition)', 'C4521960')","('Recurrent Uveal Melanoma', 'C0278870')"
"('Mass, a measure of quantity of matter', 'C1306372')","('Giant cell angiofibroma', 'C1367539')"
"('B-Lymphocytes', 'C0004561')","('Mucinous cystadenofibroma', 'C1377844')"
"('Usual Severity Nausea', 'C4085661')","('Angiosarcoma of liver', 'C0345907')"
"('Case unit dose', 'C1533148')","('Precursor T-lymphoblastic lymphoma/leukemia stage III', 'C0854862')"
"('High risk of', 'C0332167')","('Stage II Carcinoma of Penis', 'C0854966')"
