CUI1,CUI2
"('Surgical aspects', 'C0038895')","('Borderline Ovarian Mucinous Adenofibroma', 'C1881912')"
"('Connective Tissue', 'C0009780')","('Locally Advanced Epithelioid Hemangioendothelioma', 'C4687513')"
"('Malignant neoplasm of skin', 'C0007114')","('verrucous carcinoma of bladder', 'C1511208')"
"('diagnosis aspect', 'C1704338')","('Refractory cytopenia with multilineage dysplasia', 'C0796466')"
"('Taxonomic', 'C0008903')","('Cystadenofibroma', 'C0334317')"
"('Neoplasms', 'C0027651')","('Macrofollicular Variant Thyroid Gland Papillary Carcinoma', 'C1708851')"
"('Area', 'C0205146')","('malignant gastrinoma of pancreas', 'C1881585')"
"('Proliferation', 'C1514485')","('Leukemia, Myeloid, Chronic-Phase', 'C0023474')"
"('Usual Severity Nausea', 'C4085661')","('Glioblastoma multiforme of spinal cord', 'C0559185')"
"('Nausea Visual Analogue Scale', 'C4552888')","('MGMT-Unmethylated Glioblastoma', 'C4330601')"
"('Subject Risk', 'C4552904')","('Refractory Uterine Corpus Carcinosarcoma', 'C4764209')"
"('Never (frequency)', 'C2003901')","('Refractory Uterine Corpus Carcinosarcoma', 'C4764209')"
"('How Much Distress Nausea', 'C4085222')","('Mesenchymal Glioblastoma', 'C3829122')"
"('Type - attribute', 'C0332307')","('Common wart', 'C0043037')"
"('Type A', 'C4264487')","('Follicular Variant Thyroid Gland Papillary Carcinoma, Encapsulated Subtype with Invasion', 'C4745260')"
"('Tumor cells, uncertain whether benign or malignant', 'C0431085')","('Advanced Small Intestinal Neuroendocrine Carcinoma', 'C4744988')"
"('General surgery specialty', 'C1274039')","('Borderline Ovarian Serous Adenofibroma', 'C1511266')"
"('Initially', 'C0205265')","('Classical Glioblastoma', 'C3827253')"
"('Spreading (qualifier value)', 'C0332261')","('Recurrent Childhood Anaplastic Oligodendroglioma', 'C3897759')"
"('Persistent', 'C0205322')","('Human Papillomavirus-Related Verrucous Carcinoma', 'C1334058')"
"('75', 'C4319621')","('Childhood Anaplastic Oligoastrocytoma', 'C3899676')"
"('Nervous system structure', 'C0027763')","('Metastatic Digestive System Neuroendocrine Tumor G1', 'C3891404')"
"('Somatostatin', 'C0037659')","('malignant gastrinoma of pancreas', 'C1881585')"
"('Body Site Modifier - Lower', 'C1548802')","('insulinoma', 'C0021670')"
"('Antifibrinolytic amino acids', 'C3539947')","('Epithelioid glioblastoma', 'C4289580')"
"('Sarcomatous Component Present', 'C1882976')","('Uterine Carcinosarcoma, Heterologous Type', 'C3827678')"
"('Ectoderm', 'C0013574')","('Childhood Lung Small Cell Carcinoma', 'C3899641')"
"('Image Feature', 'C2346469')","('Advanced Gastric Neuroendocrine Carcinoma', 'C4744984')"
"('SLC35G1 gene', 'C3469826')","('Metastatic Lung Small Cell Carcinoma', 'C4744563')"
"('Cells', 'C0007634')","('Intraductal Cribriform Breast Adenocarcinoma', 'C1334248')"
"('Poverty', 'C0032854')","('Human Papillomavirus-Related Verrucous Carcinoma', 'C1334058')"
"('Time (foundation metadata concept)', 'C3541383')","('Oncocytic Variant Thyroid Gland Papillary Carcinoma', 'C1709312')"
"('SF3B1 wt Allele', 'C3273937')","('Refractory Cytopenia of Childhood', 'C2826323')"
"('photoreactivating enzyme activity', 'C2257086')","('combined small cell carcinoma of lung', 'C1333125')"
"('Nervous system structure', 'C0027763')","('Advanced Small Intestinal Neuroendocrine Carcinoma', 'C4744988')"
"('FORMER', 'C0750523')","('Leukemia, Myeloid, Chronic-Phase', 'C0023474')"
"('cribriform', 'C1621425')","('High Grade Ductal Breast Carcinoma In Situ', 'C1334002')"
"('nonspecific', 'C0750540')","('Recurrent Glioblastoma', 'C3897752')"
"('Percent (qualifier value)', 'C0439165')","('Stage I Thyroid Gland Papillary Carcinoma 55 Years and Older AJCC v8', 'C4683424')"
"('Specific qualifier value', 'C0205369')","('Borderline Ovarian Endometrioid Adenofibroma', 'C1511262')"
"('Indeterminate', 'C0205258')","('Borderline Ovarian Serous Adenofibroma', 'C1511266')"
"('Account number:Identifier:Point in time:^Patient:Nominal', 'C2741673')","('Stage II Lung Small Cell Carcinoma AJCC v7', 'C1336318')"
"('Skeletal bone', 'C0262950')","('Alveolar soft part sarcoma metastatic', 'C0855036')"
"('Unknown', 'C0439673')","('Perivascular epithelioid tumor, malignant', 'C3839062')"
"('Verrucous carcinoma of oral cavity', 'C0280306')","('verrucous carcinoma of vagina', 'C1336944')"
"('Diet Code Specification Type - Preference', 'C1549513')","('Recurrent Anaplastic Oligoastrocytoma', 'C3897760')"
"('Gland', 'C1285092')","('Digital papillary eccrine carcinoma of skin', 'C1367789')"
"('United States', 'C0041703')","('Refractory Uterine Corpus Carcinosarcoma', 'C4764209')"
"('Beginning', 'C0439659')","('Chondroblastic osteosarcoma', 'C0279603')"
"('Frequently', 'C0332183')","('Mesenchymal Glioblastoma', 'C3829122')"
"('Greater than one', 'C4280965')","('Borderline Ovarian Serous Adenofibroma', 'C1511266')"
"('Variant', 'C0205419')","('Juvenile Pilocytic Astrocytoma', 'C0280783')"
"('Togo', 'C0040363')","('Refractory Pancreatic Neuroendocrine Carcinoma', 'C4527255')"
"('Known', 'C0205309')","('Brain Stem Glioblastoma', 'C1332610')"
"('GUCY2C protein, human', 'C1451001')","('Recurrent Anaplastic Oligoastrocytoma', 'C3897760')"
"('SLC6A2 protein, human', 'C1456447')","('Duodenal Somatostatin-Producing Neuroendocrine Tumor', 'C1333320')"
"('Contrast', 'C1979874')","('Alveolar soft part sarcoma metastatic', 'C0855036')"
"('Antibiotics for systemic use', 'C3540704')","('Refractory cytopenia with multilineage dysplasia', 'C0796466')"
"('Glucagonoma', 'C0017689')","('Glucagonoma', 'C0017689')"
"('Anterior portion of neck', 'C0230069')","('Human Papillomavirus-Related Verrucous Carcinoma', 'C1334058')"
"('Nausea, CTCAE 3.0', 'C1963179')","('Mesenchymal Glioblastoma', 'C3829122')"
"('cell type', 'C0449475')","('Perivascular epithelioid tumor, malignant', 'C3839062')"
"('Treatment Epoch', 'C3538994')","('Common wart', 'C0043037')"
"('Malignant neoplasm of skin', 'C0007114')","('Uterine Carcinosarcoma, Heterologous Type', 'C3827678')"
"('health and disease', 'C0679215')","('Borderline Ovarian Clear Cell Adenofibroma with Intraepithelial Carcinoma', 'C1511259')"
"('Ephrin Type-B Receptor 1, human', 'C3853572')","('Metastatic Digestive System Neuroendocrine Tumor G1', 'C3891404')"
"('Immune System Processes', 'C1817756')","('Human Papillomavirus-Related Verrucous Carcinoma', 'C1334058')"
"('Therapeutic radiology procedure', 'C1522449')","('Refractory cytopenia with multilineage dysplasia', 'C0796466')"
"('Retinoic Acid Response Element', 'C1514917')","('Adult Anaplastic Astrocytoma', 'C0280483')"
"('Distal urethra', 'C1744561')","('Urethral Verrucous Carcinoma', 'C1519827')"
"('Call (Instruction)', 'C1947967')","('Anaplastic Oligoastrocytoma', 'C0431108')"
"('Net (qualifier)', 'C3887809')","('Advanced Gastric Neuroendocrine Carcinoma', 'C4744984')"
"('Visual Impairment', 'C3665347')","('Recurrent Childhood Gliosarcoma', 'C3897750')"
"('size', 'C0456389')","('Malignant Vulvar Phyllodes Tumor', 'C4288773')"
"('Group A (qualifier value)', 'C0441835')","('Adult Grade III Lymphomatoid Granulomatosis', 'C1541468')"
"('Providing (action)', 'C1999230')","('Epithelioid glioblastoma', 'C4289580')"
"('Ephrin Type-B Receptor 1, human', 'C3853572')","('Duodenal Somatostatin-Producing Neuroendocrine Tumor', 'C1333320')"
"('shared attribute', 'C1522138')","('Common wart', 'C0043037')"
"('Mathematical Factor', 'C2827422')","('Recurrent Merkel Cell Carcinoma', 'C0935808')"
"('Stroke, CTCAE', 'C4554100')","('Glioblastoma, IDH-Mutant', 'C1519214')"
"('30%', 'C3842588')","('Infratentorial Glioblastoma', 'C1334184')"
"('International Unit', 'C0439453')","('Clear Cell Variant Thyroid Gland Papillary Carcinoma', 'C1707410')"
"('How Much Distress Vomiting', 'C4084766')","('Recurrent Childhood Giant Cell Glioblastoma', 'C3897753')"
"('Case (situation)', 'C0868928')","('Neural Glioblastoma', 'C3828832')"
"('MOSTLY', 'C0750554')","('malignant gastrinoma of pancreas', 'C1881585')"
"('Pharyngeal structure', 'C0031354')","('Human Papillomavirus-Related Verrucous Carcinoma', 'C1334058')"
"('Then', 'C1883708')","('Urethral Verrucous Carcinoma', 'C1519827')"
"('Cell Count', 'C0007584')","('Malignant Vulvar Phyllodes Tumor', 'C4288773')"
"('low', 'C0205251')","('Refractory cytopenia with multilineage dysplasia', 'C0796466')"
"('Unknown GENC', 'C4050014')","('Childhood Brain Stem Gliosarcoma', 'C3887517')"
"('Warts', 'C3665596')","('Common wart', 'C0043037')"
"('Common Specifications in HL7 V3 Publishing', 'C3245511')","('Anaplastic Hemispheric Astrocytoma', 'C1332282')"
"('Upper', 'C1282910')","('Thyroid Gland Black Follicular Adenoma', 'C4744476')"
"('Code', 'C0805701')","('Oncocytic Variant Thyroid Gland Papillary Carcinoma', 'C1709312')"
"('Etiology aspects', 'C0015127')","('Classical Glioblastoma', 'C3827253')"
"('Aggressive behavior', 'C0001807')","('Pancreatic Large Cell Neuroendocrine Carcinoma', 'C2987239')"
"('Specimen Source Codes - tumor', 'C1578706')","('Dedifferentiated Solitary Fibrous Tumor', 'C2699572')"
"('Frequently', 'C0332183')","('malignant gastrinoma of pancreas', 'C1881585')"
"('Neoplasm Metastasis', 'C0027627')","('Recurrent Childhood Gliosarcoma', 'C3897750')"
"('<50', 'C3843766')","('Refractory Uterine Corpus Carcinosarcoma', 'C4764209')"
"('Primary', 'C0205225')","('Glioblastoma with Primitive Neuronal Component', 'C4289034')"
"('Sweat', 'C0038984')","('Adenoma, Sweat Gland', 'C0019522')"
"('Carcinogens', 'C0007090')","('Vaginal Warty Carcinoma', 'C1519937')"
"('Diversity', 'C1880371')","('Uterine Carcinosarcoma, Heterologous Type', 'C3827678')"
"('% abnormal forms', 'C0439172')","('Histiocytosis, Langerhans-Cell', 'C0019621')"
"('GUCY2C wt Allele', 'C4084890')","('Childhood Anaplastic Oligoastrocytoma', 'C3899676')"
"('Neoplasm Metastasis', 'C0027627')","('Anaplastic Brain Stem Astrocytoma', 'C1332279')"
"('Abdominal Cavity', 'C0230168')","('Refractory Uterine Corpus Carcinosarcoma', 'C4764209')"
"('Adult Glioblastoma', 'C0278878')","('Mesenchymal Glioblastoma', 'C3829122')"
"('Form of vagina', 'C1285957')","('Vaginal Warty Carcinoma', 'C1519937')"
"('Certainties', 'C0439543')","('Refractory cytopenia with multilineage dysplasia', 'C0796466')"
"('health and disease', 'C0679215')","('Dedifferentiated Solitary Fibrous Tumor', 'C2699572')"
"('Cells', 'C0007634')","('Bladder squamous cell carcinoma stage 0', 'C0855187')"
"('Manufactured sign', 'C0220913')","('Brain Glioblastoma', 'C0349543')"
"('Islets of Langerhans', 'C0022131')","('Pancreatic Somatostatinoma', 'C1368041')"
"('75', 'C4319621')","('Papillary thyroid carcinoma', 'C0238463')"
"('Resulting in', 'C0332294')","('insulinoma', 'C0021670')"
"('depend', 'C0725813')","('Recurrent Childhood Giant Cell Glioblastoma', 'C3897753')"
"('Yellow papule', 'C2033396')","('Sebaceous adenoma', 'C1368816')"
"('Fill', 'C1708059')","('Borderline Ovarian Mucinous Adenofibroma', 'C1881912')"
"('Occur (action)', 'C1709305')","('Refractory Uterine Corpus Carcinosarcoma', 'C4764209')"
"('CENTRAL NERVOUS SYSTEM DIAGNOSTIC RADIOPHARMACEUTICALS', 'C3540014')","('Anaplastic Oligoastrocytoma', 'C0431108')"
"('Brain Stem', 'C0006121')","('Juvenile Pilocytic Astrocytoma', 'C0280783')"
"('Experimental Result', 'C2825142')","('Human Papillomavirus-Related Verrucous Carcinoma', 'C1334058')"
"('treatment - ActInformationManagementReason', 'C3887704')","('Human Papillomavirus-Related Verrucous Carcinoma', 'C1334058')"
"('Term (lexical)', 'C1705313')","('Pancreatic Gastrin-Producing Neuroendocrine Tumor', 'C1368066')"
"('Carcinoma of lung', 'C0684249')","('Combined Lung Small Cell Carcinoma and Lung Adenocarcinoma', 'C1332165')"
"('Myeloproliferative disease', 'C0027022')","('Leukemia, Myeloid, Chronic, Atypical, BCR-ABL Negative', 'C1292772')"
"('Uncertainty', 'C0087130')","('Perivascular epithelioid tumor, malignant', 'C3839062')"
"('Including (qualifier)', 'C0332257')","('Glioblastoma, IDH-Mutant', 'C1519214')"
"('Include (action)', 'C2700399')","('Brain Stem Glioblastoma', 'C1332610')"
"('Lung', 'C0024109')","('large cell neuroendocrine carcinoma of lung', 'C1334363')"
"('Intestines', 'C0021853')","('Metastatic Digestive System Neuroendocrine Carcinoma', 'C4744461')"
"('shared attribute', 'C1522138')","('Borderline Ovarian Serous Cystadenofibroma', 'C1511267')"
"('Usually', 'C3888388')","('insulinoma', 'C0021670')"
"('Include (action)', 'C2700399')","('Recurrent Childhood Anaplastic Oligodendroglioma', 'C3897759')"
"('disorder control (procedure)', 'C0920467')","('Epithelioid glioblastoma', 'C4289580')"
"('Hematuria, CTCAE', 'C4554630')","('Urethral Verrucous Carcinoma', 'C1519827')"
"('Disease', 'C0012634')","('Childhood Gliosarcoma', 'C3899658')"
"('Fluid behavior', 'C0444611')","('Borderline Ovarian Mucinous Adenofibroma', 'C1881912')"
"('Location of Oral Residue Following Swallowing', 'C4284931')","('Recurrent Anaplastic Oligoastrocytoma', 'C3897760')"
"('Tryptophanase', 'C0041260')","('Adult Gliosarcoma', 'C1541317')"
"('Neoplasm Metastasis', 'C0027627')","('Vaginal Warty Carcinoma', 'C1519937')"
"('Myelodysplastic Syndrome, CTCAE', 'C4552879')","('Refractory anemia with ringed sideroblasts', 'C1264195')"
"('BRCA2 gene', 'C0598034')","('Refractory Uterine Corpus Carcinosarcoma', 'C4764209')"
"('Bladder Neoplasm', 'C0005695')","('Bladder squamous cell carcinoma stage 0', 'C0855187')"
"('Occurrence', 'C2745955')","('Anaplastic Hemispheric Astrocytoma', 'C1332282')"
"('Cells', 'C0007634')","('Recurrent Anaplastic Oligoastrocytoma', 'C3897760')"
"('cell type', 'C0449475')","('Alveolar soft part sarcoma metastatic', 'C0855036')"
"('Therapeutic radiology procedure', 'C1522449')","('Refractory Uterine Corpus Carcinosarcoma', 'C4764209')"
"('To', 'C1883351')","('Vulvar Warty Carcinoma', 'C1520102')"
"('Treating', 'C1522326')","('combined small cell carcinoma of lung', 'C1333125')"
"('Primary operation', 'C0439631')","('Stage II Thyroid Gland Papillary Carcinoma Under 55 Years AJCC v8', 'C4683425')"
"('Twice (Numerical Qualifier)', 'C1948050')","('gliosarcoma', 'C0206726')"
"('Bothered by Nausea', 'C4085862')","('Brain Glioblastoma', 'C0349543')"
"('Seizures', 'C0036572')","('Anaplastic Brain Stem Astrocytoma', 'C1332279')"
"('Age of onset of symptoms:Time:Pt:^Patient:Qn', 'C3175530')","('Bladder squamous cell carcinoma stage 0', 'C0855187')"
"('Reported', 'C4319718')","('Anaplastic Oligoastrocytoma', 'C0431108')"
"('To', 'C1883351')","('malignant gastrinoma of pancreas', 'C1881585')"
"('intended - ParticipationSignature', 'C1551357')","('Malignant Vulvar Phyllodes Tumor', 'C4288773')"
"('How Often Nausea', 'C4084796')","('Glioblastoma by Gene Expression Profile', 'C3827194')"
"('Oral (intended site)', 'C4521986')","('Recurrent Pancreatic Neuroendocrine Carcinoma', 'C3897732')"
"('Tests (qualifier value)', 'C0392366')","('Refractory Uterine Corpus Carcinosarcoma', 'C4764209')"
"('Nearly', 'C3828842')","('Adenoma, Sweat Gland', 'C0019522')"
"('Lower (action)', 'C2003888')","('insulinoma', 'C0021670')"
"('Non-Small Cell Lung Carcinoma', 'C0007131')","('Metastatic Lung Small Cell Carcinoma', 'C4744563')"
"('Common Specifications in HL7 V3 Publishing', 'C3245511')","('Borderline Ovarian Serous Adenofibroma', 'C1511266')"
"('Unconscious State', 'C0041657')","('Small cell glioblastoma', 'C1272516')"
"('Manufactured sign', 'C0220913')","('Mesenchymal Glioblastoma', 'C3829122')"
"('SLC6A2 protein, human', 'C1456447')","('Metastatic Digestive System Neuroendocrine Tumor G1', 'C3891404')"
"('Followed by', 'C0332283')","('Bladder squamous cell carcinoma stage 0', 'C0855187')"
"('oligodendroglioma', 'C0028945')","('Anaplastic Oligoastrocytoma', 'C0431108')"
"('Affecting', 'C0392760')","('Uterine Corpus Carcinosarcoma', 'C1704376')"
"('Experimental Result', 'C2825142')","('Borderline Ovarian Mucinous Adenofibroma', 'C1881912')"
"('Adverse Event Associated with Vascular', 'C1558950')","('Locally Advanced Epithelioid Hemangioendothelioma', 'C4687513')"
"('Hormones', 'C0019932')","('malignant gastrinoma of pancreas', 'C1881585')"
"('Telencephalon', 'C0039452')","('Anaplastic Hemispheric Astrocytoma', 'C1332282')"
"('Fraction of', 'C1264633')","('Refractory Lung Small Cell Carcinoma', 'C4743561')"
"('Occurrence Indicator', 'C4284875')","('Common wart', 'C0043037')"
"('85', 'C4517892')","('Combined Lung Small Cell Carcinoma and Lung Adenocarcinoma', 'C1332165')"
"('Mean Percent of Normal', 'C2347086')","('Refractory anemia with ringed sideroblasts', 'C1264195')"
"('Papillomavirus', 'C0030358')","('Human Papillomavirus-Related Verrucous Carcinoma', 'C1334058')"
"('Affect (mental function)', 'C0001721')","('Childhood Giant Cell Glioblastoma', 'C3899659')"
"('Papillary thyroid carcinoma', 'C0238463')","('Encapsulated Variant Thyroid Gland Papillary Carcinoma', 'C4744519')"
"('Etiology aspects', 'C0015127')","('Recurrent Childhood Gliosarcoma', 'C3897750')"
"('breast.duct', 'C1116428')","('Malignant Vulvar Phyllodes Tumor', 'C4288773')"
"('Characterization', 'C1880022')","('Histiocytosis, Langerhans-Cell', 'C0019621')"
"('Main', 'C1542147')","('Childhood Glioblastoma', 'C0280474')"
"('Nausea:Presence or Threshold:Point in time:^Patient:Ordinal', 'C4255480')","('Brain Stem Glioblastoma', 'C1332610')"
"('Hormonal Contraception', 'C2985296')","('Borderline Ovarian Mucinous Adenofibroma', 'C1881912')"
"('Somalia', 'C0037640')","('Refractory anemia with ringed sideroblasts', 'C1264195')"
"('100%', 'C3817553')","('Bladder squamous cell carcinoma stage 0', 'C0855187')"
"('Primary', 'C0205225')","('Childhood Brain Glioblastoma', 'C4554065')"
"('Entity', 'C1551338')","('Human Papillomavirus-Related Verrucous Carcinoma', 'C1334058')"
"('Referring', 'C0205543')","('Verrucous carcinoma of penis', 'C1336955')"
"('Most', 'C0205393')","('Refractory Lung Small Cell Carcinoma', 'C4743561')"
"('Poorly differentiated', 'C0205617')","('Anaplastic Oligodendroglioma', 'C0280790')"
"('Lysergic acid diethylamide measurement', 'C0202406')","('malignant gastrinoma of pancreas', 'C1881585')"
"('Operative Surgical Procedures', 'C0543467')","('Borderline Ovarian Mucinous Adenofibroma', 'C1881912')"
"('SLC6A2 wt Allele', 'C3890893')","('Advanced Small Intestinal Small Cell Neuroendocrine Carcinoma', 'C4744989')"
"('To', 'C1883351')","('Malignant Vulvar Phyllodes Tumor', 'C4288773')"
"('Mammary Neoplasms', 'C1458155')","('Malignant Cystosarcoma Phyllodes', 'C0600066')"
"('Consistency', 'C0332529')","('gliosarcoma', 'C0206726')"
"('Groups', 'C0441833')","('Malignant Vulvar Phyllodes Tumor', 'C4288773')"
"('Report (document)', 'C0684224')","('Anaplastic Oligoastrocytoma', 'C0431108')"
"('Tissue Specimen Code', 'C1547928')","('Metastatic Digestive System Neuroendocrine Tumor G1', 'C3891404')"
"('Antibiotics FOR TREATMENT OF HEMORRHOIDS AND ANAL FISSURES FOR TOPICAL USE', 'C3540707')","('Refractory cytopenia with multilineage dysplasia', 'C0796466')"
"('Shapes', 'C0332479')","('Recurrent Childhood Anaplastic Astrocytoma', 'C3897762')"
"('Plumbum metallicum, homeopathic preparation', 'C1442948')","('Adult Gliosarcoma', 'C1541317')"
"('Malignant - descriptor', 'C0205282')","('Pancreatic Gastrin-Producing Neuroendocrine Tumor', 'C1368066')"
"('Reported Term', 'C2826302')","('Anal Verrucous Carcinoma', 'C1332278')"
"('per year', 'C0439508')","('Malignant Pancreatic Vipoma', 'C1881586')"
"('diagnostic image', 'C1551337')","('Recurrent Childhood Anaplastic Astrocytoma', 'C3897762')"
"('Liver Flavor', 'C2346688')","('gliosarcoma', 'C0206726')"
"('Human body structure', 'C0460148')","('Advanced Gastric Large Cell Neuroendocrine Carcinoma', 'C4744985')"
"('Identical', 'C0205280')","('Carcinosarcoma of ovary', 'C0392998')"
"('Time (foundation metadata concept)', 'C3541383')","('Borderline Ovarian Endometrioid Adenofibroma', 'C1511262')"
"('removal technique', 'C0015252')","('Lung Small Cell Carcinoma by AJCC v7 Stage', 'C4526735')"
"('To', 'C1883351')","('Borderline Ovarian Serous Cystadenofibroma', 'C1511267')"
"('TP53 protein, human', 'C0146283')","('Uterine Carcinosarcoma, Heterologous Type', 'C3827678')"
"('resistant - Observation Interpretation Susceptibility', 'C1550464')","('Recurrent Pancreatic Neuroendocrine Carcinoma', 'C3897732')"
"('Form:Finding:Point in time:{Setting}:Document:{Role}', 'C4255237')","('Digital papillary eccrine carcinoma of skin', 'C1367789')"
"('Benign', 'C0205183')","('Recurrent Childhood Anaplastic Oligodendroglioma', 'C3897759')"
"('Occur (action)', 'C1709305')","('Vulvar Warty Carcinoma', 'C1520102')"
"('Manufactured form', 'C0376315')","('Pancreatic Large Cell Neuroendocrine Carcinoma', 'C2987239')"
"('Malignant neoplasm of soft tissue', 'C4551686')","('Chondroblastic osteosarcoma', 'C0279603')"
"('Including (qualifier)', 'C0332257')","('Recurrent Merkel Cell Carcinoma', 'C0935808')"
"('Staging:Finding:Point in time:Cancer.To be specified in another part of the message:Narrative', 'C0804824')","('Bladder squamous cell carcinoma stage 0', 'C0855187')"
"('Process', 'C1522240')","('Refractory Uterine Corpus Carcinosarcoma', 'C4764209')"
"('Percent (qualifier value)', 'C0439165')","('Papillary serous cystadenocarcinoma', 'C0206701')"
"('Nausea:Presence or Threshold:Point in time:^Patient:Ordinal', 'C4255480')","('Multifocal Glioblastomas', 'C2985170')"
"('Following', 'C0332282')","('Refractory cytopenia with multilineage dysplasia', 'C0796466')"
"('Activity (animal life circumstance)', 'C3668946')","('Glioblastoma with Primitive Neuronal Component', 'C4289034')"
"('Difficulty walking', 'C0311394')","('Recurrent Childhood Giant Cell Glioblastoma', 'C3897753')"
"('Involvement with', 'C1314939')","('Secondary Supratentorial Anaplastic Astrocytoma', 'C1332288')"
"('examination of cervix', 'C2239113')","('Human Papillomavirus-Related Verrucous Carcinoma', 'C1334058')"
"('Type - attribute', 'C0332307')","('Recurrent Childhood Anaplastic Oligoastrocytoma', 'C3897760')"
"('Feel Nausea', 'C4552889')","('MGMT-Unmethylated Glioblastoma', 'C4330601')"
"('Type A', 'C4264487')","('Common wart', 'C0043037')"
"('Sharing (Social Behavior)', 'C0237876')","('Intermediate Atypical Prostate Carcinoma', 'C4527149')"
"('Behavior:-:Point in time:^Patient:-', 'C2707008')","('Follicular Variant Thyroid Gland Papillary Carcinoma, Encapsulated Subtype with Invasion', 'C4745260')"
"('Substance', 'C0439861')","('Digital papillary eccrine carcinoma of skin', 'C1367789')"
"('cell transformation', 'C0040682')","('Uterine Carcinosarcoma, Heterologous Type', 'C3827678')"
"('Widening', 'C0332464')","('Recurrent Childhood Anaplastic Oligoastrocytoma', 'C3897760')"
"('Treating', 'C1522326')","('Duodenal Somatostatin-Producing Neuroendocrine Tumor', 'C1333320')"
"('control aspects', 'C0243148')","('Glioblastoma with Primitive Neuronal Component', 'C4289034')"
"('Enzymes', 'C0014442')","('Adult Gliosarcoma', 'C1541317')"
"('Body part', 'C0229962')","('Bladder squamous cell carcinoma stage 0', 'C0855187')"
"('NCI CTEP SDC Osteosarcoma Sub-Category Terminology', 'C3541899')","('Chondroblastic osteosarcoma', 'C0279603')"
"('Fourth', 'C0205438')","('Uterine Carcinosarcoma, Heterologous Type', 'C3827678')"
"('Infection', 'C3714514')","('Common wart', 'C0043037')"
"('Case (situation)', 'C0868928')","('Papillary thyroid carcinoma', 'C0238463')"
"('site-specific telomere resolvase activity', 'C1622890')","('Metastatic Gastric Neuroendocrine Carcinoma', 'C4744983')"
"('Anus', 'C0003461')","('Anal Verrucous Carcinoma', 'C1332278')"
"('Input', 'C1708517')","('Glioblastoma with Primitive Neuronal Component', 'C4289034')"
"('NCI CTEP SDC Small Cell Lung Cancer Sub-Category Terminology', 'C3540630')","('Small cell lung cancer extensive stage', 'C0278726')"
"('3+ Score', 'C2827736')","('Anaplastic Oligoastrocytoma', 'C0431108')"
"('Diagnosis Study', 'C1704656')","('insulinoma', 'C0021670')"
"('Severe (severity modifier)', 'C0205082')","('High Grade Ductal Breast Carcinoma In Situ', 'C1334002')"
"('Intrinsic origin', 'C0439674')","('Recurrent Childhood Anaplastic Astrocytoma', 'C3897762')"
"('Resolution', 'C2699488')","('Common wart', 'C0043037')"
"('Remaining', 'C1527428')","('Uterine Carcinosarcoma, Heterologous Type', 'C3827678')"
"('morphological', 'C0543482')","('Cystadenofibroma', 'C0334317')"
"('Biomaterial Treatment', 'C1705169')","('High Grade Ductal Breast Carcinoma In Situ', 'C1334002')"
"('Difficulty walking', 'C0311394')","('Recurrent Childhood Gliosarcoma', 'C3897750')"
"('Gastrointestinal Hormones', 'C0017182')","('Pancreatic Somatostatinoma', 'C1368041')"
"('Glioblastoma', 'C0017636')","('gliosarcoma', 'C0206726')"
"('Worse', 'C1457868')","('Mesenchymal Glioblastoma', 'C3829122')"
"('utilization qualifier', 'C0042153')","('verrucous carcinoma of vagina', 'C1336944')"
"('Include (action)', 'C2700399')","('Brain Glioblastoma', 'C0349543')"
"('Stem of Organ', 'C1186763')","('Borderline Ovarian Endometrioid Cystadenofibroma', 'C1332595')"
"('Malignant neoplasm of thyroid', 'C0007115')","('Thyroid Gland Black Follicular Adenoma', 'C4744476')"
"('Screening', 'C1710032')","('Refractory Uterine Corpus Carcinosarcoma', 'C4764209')"
"('Volume Measurement', 'C2700258')","('Laryngeal verrucous carcinoma', 'C0280328')"
"('Functional', 'C0205245')","('Somatostatinoma', 'C0037661')"
"('Pharmacotherapy', 'C0013216')","('Platinum-Sensitive Lung Small Cell Carcinoma', 'C4764256')"
"('various other nasal preparations in ATC', 'C3540761')","('Urethral Verrucous Carcinoma', 'C1519827')"
"('Most', 'C0205393')","('Stage II Thyroid Gland Papillary Carcinoma 55 Years and Older AJCC v8', 'C4683426')"
"('Form:Finding:Point in time:{Setting}:Document:{Role}', 'C4255237')","('Childhood Gliosarcoma', 'C3899658')"
"('Human body', 'C0242821')","('Common wart', 'C0043037')"
"('Microscopes', 'C0181839')","('Borderline Ovarian Serous Adenofibroma', 'C1511266')"
"('Diagnosis Study', 'C1704656')","('Borderline Ovarian Mucinous Adenofibroma', 'C1881912')"
"('Cerebrum', 'C0242202')","('Recurrent Childhood Anaplastic Oligoastrocytoma', 'C3897760')"
"('Transurethral Resection', 'C1519630')","('Bladder squamous cell carcinoma stage 0', 'C0855187')"
"('Pancreatic carcinoma', 'C0235974')","('malignant gastrinoma of pancreas', 'C1881585')"
"('Lead', 'C0023175')","('Thyroid Gland Black Follicular Adenoma', 'C4744476')"
"('Cholecystolithiasis', 'C0947622')","('Somatostatinoma, malignant', 'C1266015')"
"('Coding', 'C0009219')","('Dedifferentiated Solitary Fibrous Tumor', 'C2699572')"
"('Firstly', 'C1279901')","('Carcinosarcoma of ovary', 'C0392998')"
"('Base - General Qualifier', 'C1705938')","('Small cell lung cancer extensive stage', 'C0278726')"
"('Relationships', 'C0439849')","('Oncocytic Variant Thyroid Gland Papillary Carcinoma', 'C1709312')"
"('Abdomen+', 'C4299167')","('malignant gastrinoma of pancreas', 'C1881585')"
