CUI1,CUI2,Prediction
Complicated,Cancer of Urinary Tract,1
Specimen Source Codes - Respiratory,papillary carcinoma of penis,0
Painful intercourse female,Anterior Urethral Malignant Neoplasm,0
Including (qualifier),Secondary malignant neoplasm of lymph node,0
More,Pilocytic astrocytoma of cerebellum,0
Pharmacotherapy,Localized Askin Tumor,0
Papillomaviridae,Human Papillomavirus-Related Carcinoma,0
Prior Medication Usage,Uterine Cancer,0
Primary operation,Sarcomatoid Renal Cell Carcinoma,1
Limited (extensiveness),Acute lymphadenitis,0
70%,Primary Cutaneous Plasmablastic Lymphoma,0
To,Uterine Cancer,0
peripheral blood,Recurrent Testicular Lymphoma,0
Angioma,Hemangioma,0
Symptoms,Stage IB Lung Cancer AJCC v7,1
flower allergenic extracts,Extracranial Neuroblastoma,1
10%,Precursor T-lymphoblastic lymphoma/leukemia stage III,1
risk factors,FIGO Stage II Ovarian Cancer,0
Chemotherapy Regimen,Epipodophyllotoxin-Related Myelodysplastic Syndrome,1
How Much Distress Weight Loss,Nodular Lymphocyte Predominant Hodgkin Lymphoma,1
Combined,Undifferentiated Endocervical Sarcoma,0
Abnormal cell,FIGO Stage II Ovarian Cancer,0
Homo sapiens,Human Papillomavirus-Related Carcinoma,0
subscriber - self,Acute lymphadenitis,0
gliosarcoma,gliosarcoma,0
One,Localized Askin Tumor,1
application of research,Unresectable Rhabdomyosarcoma,0
Recommendation,Benign Carotid Body Paraganglioma,0
Area,GIANT PIGMENTED HAIRY NEVUS,0
History,Uterine Cancer,0
Smear - instruction imperative,Recurrent Uveal Melanoma,0
Cell Proliferation,Atypical Lobular Breast Hyperplasia,1
Line Specimen,Acute Undifferentiated Leukemia,0
Lymphocyte,Recurrent Testicular Lymphoma,0
International Aspects,Thymic Clear Cell Carcinoma,1
Communicable Diseases,Acute Undifferentiated Leukemia,0
Used by,Lung squamous cell carcinoma stage I,0
Carcinoid Tumor,Colorectal Neuroendocrine Tumor G2,0
Removal of bladder,Bladder squamous cell carcinoma stage I,1
Feel Tired question,Malignant Neoplasm with Regional Lymph Node Involvement,0
Precursor Cell Lymphoblastic Leukemia Lymphoma,Acute Undifferentiated Leukemia,0
Breast collecting duct,Collecting Duct Carcinoma of the Kidney,0
PCYT1A wt Allele,Anterior Urethral Malignant Neoplasm,0
NCI Thesaurus Qualifier,Cartilaginous exostosis,0
Confirmed by,Acantholytic squamous cell carcinoma,0
radiotherapeutic,Tonsillar Carcinoma,1
Include (action),Regional Urothelial Carcinoma of the Renal Pelvis and Ureter,0
Benign condition,Recurrent Testicular Lymphoma,1
Diagnosis of exclusion,Metastatic Ductal Breast Carcinoma,1
Part of,Malignant Neoplasm with Regional Lymph Node Involvement,0
Occur (action),Clonal Hematopoiesis of Indeterminate Potential,0
memory b cell,Small Lymphocytic Lymphoma with Immunoglobulin Heavy Chain Variable-Region Gene Somatic Hypermutation,0
Often - answer to question,Malignant Neoplasm with Regional Lymph Node Involvement,0
Microcyst,Serous cystadenocarcinoma ovary,1
Woman,Recurrent Uveal Melanoma,0
Mediate,Small Lymphocytic Lymphoma with Immunoglobulin Heavy Chain Variable-Region Gene Somatic Hypermutation,0
Date in time,Cancer of Urinary Tract,0
With shape,Cartilaginous exostosis,0
Deletion (action),Ichthyosis,0
Ethanol,Adult Hepatocellular Carcinoma,0
Weight decreased,Malignant Neoplasm with Regional Lymph Node Involvement,0
Room of building - Study,Localized Askin Tumor,0
Chemotherapy,Metastatic Carcinoma in the Lung,1
One,Atypical Lobular Breast Hyperplasia,1
Prognostic Factors,Female Breast Carcinoma,1
treatment - ActInformationManagementReason,Female Breast Carcinoma,0
Study of epidemiology,gliosarcoma,0
Including (qualifier),Undifferentiated Endocervical Sarcoma,1
Coloring Excipient,Precursor T-lymphoblastic lymphoma/leukemia stage III,1
The Sun,Malignant melanoma of eyelid,0
Affecting,Primary Cutaneous Plasmablastic Lymphoma,0
Introduces,Extracranial Neuroblastoma,1
diagnosis aspect,Bladder squamous cell carcinoma stage I,0
Usual,Pancreatic Intraepithelial Neoplasia-3,0
Immune system,Unresectable Rhabdomyosarcoma,0
Childhood Lymphoma,Stage I Adult Non-Hodgkin Lymphoma,1
Adult,Mastocytosis,0
occurrence characteristics,Serous cystadenocarcinoma ovary,0
Cancer Genus,papillary carcinoma of penis,1
Carcinoma,Stage II Hepatocellular Carcinoma AJCC v6 and v7,1
Non-Small Cell Lung Carcinoma,Stage IB Lung Cancer AJCC v7,0
Skin,Human Papillomavirus-Related Carcinoma,1
Reaching,Pancreatic Intraepithelial Neoplasia-3,0
Drain number:ID:Pt:^Patient:Nom,Benign Apocrine Neoplasm,0
Neuroendocrine Tumors,Extra-Adrenal Paraganglioma,1
Skin Specimen,Recurrent Ph-Like Acute Lymphoblastic Leukemia,0
DNA Repair,BRCA2 Syndrome,0
Mother (person),Human Papillomavirus-Related Carcinoma,1
Type - attribute,Spongiotic dermatitis,0
Effectiveness,Female Breast Carcinoma,1
Togo,Unfavorable Non-Hodgkin Lymphoma,0
Pallor,Recurrent Ph-Like Acute Lymphoblastic Leukemia,1
Lifetime,Cancer of Urinary Tract,0
Feelings,Methotrexate-Associated Hodgkin Lymphoma,0
Complication Aspects,Regional Urothelial Carcinoma of the Renal Pelvis and Ureter,1
Include (action),Malignant melanoma of eyelid,0
Test Result,Benign neoplasm of thorax,0
Diagnostic Imaging,Anterior Urethral Malignant Neoplasm,0
Childhood Renal Cell Carcinoma,Regional Urothelial Carcinoma of the Renal Pelvis and Ureter,0
Probability,Recurrent Uveal Melanoma,1
Glycation End Products,Human Papillomavirus-Related Carcinoma,0
Brain Neoplasms,Choroid Necrotic Melanoma,0
Low Mitosis-Karyorrhexis Index,Human Papillomavirus-Related Carcinoma,1
Condition:Find:Pt:^Patient:Nom,Maxillary Sinus Adenocarcinoma,0
Phase,Primary Cutaneous Plasmablastic Lymphoma,0
Law enforcement arrest,Unresectable Rhabdomyosarcoma,0
Small,Cartilaginous exostosis,0
Body structure,Digestive System Hodgkin Lymphoma,0
Pancreatic carcinoma,Pancreatic Intraepithelial Neoplasia-3,0
risk factors - observation list,Intestinal Metaplasia of Bladder Urothelium,0
Human body,Airway Hemangioma,0
Adult human body,Testicular cancer metastatic,0
include - SetOperator,Benign Apocrine Neoplasm,0
Exposure to,Contact dermatitis due to alkali,0
Age,Human Papillomavirus-Related Carcinoma,1
Relationship by association,Heavy Chain Deposition Disease,0
lobe,Thymic Clear Cell Carcinoma,1
Disease,Advanced Uterine Corpus Carcinosarcoma,1
NCI CTEP SDC Non-Hodgkin Lymphoma Sub-Category Terminology,Malignant Neoplasm with Regional Lymph Node Involvement,0
respiratory gaseous exchange in organisms,Refractory Barrett Esophagus,0
Ultraviolet Rays,Recurrent Uveal Melanoma,0
Acquired phimosis,Stage II Carcinoma of Penis,1
Clinical Trials,Female Breast Carcinoma,1
activate biological process,Small Lymphocytic Lymphoma with Immunoglobulin Heavy Chain Variable-Region Gene Somatic Hypermutation,1
Chemotherapy,Mucinous adenocarcinoma gastric,1
Cure (remedy),Primary Cutaneous Plasmablastic Lymphoma,0
Headache,Choroid Necrotic Melanoma,1
Diagnosis,Contact dermatitis due to alkali,0
Breast Carcinoma,BRCA2 Syndrome,0
Occurrence,Precursor T-lymphoblastic lymphoma/leukemia stage III,0
Cover - action,Blepharal carcinoma,1
Tetrachloroethylene,Tonsillar Carcinoma,0
More,Spermatocytic seminoma,0
Serving,Breast Ductal Adenoma,1
>90,Stage IB Pancreatic Cancer AJCC v8,0
treatment - ActInformationManagementReason,Adult Hepatocellular Carcinoma,1
Upper arm,Nodular Lymphocyte Predominant Hodgkin Lymphoma,0
Response process,Neonatal leukemia,0
Concept Attribute,Refractory Barrett Esophagus,1
International Classification of Diseases for Oncology,Leptomeningeal sarcoma,0
Malignant Neoplasms,Malignant melanoma of eyelid,0
Make - Instruction Imperative,Mucinous adenocarcinoma gastric,0
Generations,Small Lymphocytic Lymphoma with Immunoglobulin Heavy Chain Variable-Region Gene Somatic Hypermutation,1
List,Ampulla of Vater Tubular Adenoma,0
Myasthenia Gravis,Thymic Clear Cell Carcinoma,0
Tooth Wear,Refractory Barrett Esophagus,0
Including (qualifier),Malignant Testicular Sertoli Cell Tumor,1
Sometimes,Epipodophyllotoxin-Related Myelodysplastic Syndrome,1
MOSTLY,Recurrent Uveal Melanoma,1
Percent (qualifier value),Endometrial Small Cell Carcinoma,0
Base - General Qualifier,Localized Askin Tumor,1
Accepted,Localized Askin Tumor,0
Proliferation (morphologic abnormality),Heavy Chain Deposition Disease,1
Brain,Precursor T-lymphoblastic lymphoma/leukemia stage III,0
Sunlight,Acantholytic squamous cell carcinoma,1
Genital system,Human Papillomavirus-Related Carcinoma,0
Reparative closure,Refractory Barrett Esophagus,1
Cell Count,Pancreatic Intraepithelial Neoplasia-3,1
Melanoma Pathway,Recurrent Uveal Melanoma,0
described,Anterior Urethral Malignant Neoplasm,0
Make - Instruction Imperative,Digestive System Hodgkin Lymphoma,0
Removed,Blepharal carcinoma,0
curettage specimen,Undifferentiated Endocervical Sarcoma,0
PSA Level Less than Two,FIGO Stage II Ovarian Cancer,1
Administration procedure,Localized Askin Tumor,0
Biogenic Amines,Colorectal Neuroendocrine Tumor G2,1
Name,squamous cell carcinoma of the thyroid gland,0
Type - attribute,Benign Apocrine Neoplasm,0
Abdominal Cavity,FIGO Stage II Ovarian Cancer,0
Fever,Recurrent Ph-Like Acute Lymphoblastic Leukemia,1
High,Diffuse malignant mesothelioma,0
Personal appearance,Stage III Gastric Neuroendocrine Tumor AJCC v8,0
Malignant - descriptor,Recurrent Diffuse Intrinsic Pontine Glioma,1
Lymphatic System,mucinous adenocarcinoma of gallbladder,0
The Sun,Recurrent Uveal Melanoma,0
Science of Etiology,Spongiotic dermatitis,0
Common Specifications in HL7 V3 Publishing,Unfavorable Non-Hodgkin Lymphoma,0
Etiology aspects,Ichthyoses,0
Primary malignant neoplasm,Acute lymphadenitis,1
Pain,Regional Urothelial Carcinoma of the Renal Pelvis and Ureter,1
Assisted (qualifier value),Thymic Clear Cell Carcinoma,1
Therapeutic radiology procedure,Intestinal Metaplasia of Bladder Urothelium,0
Gait normal,Unresectable Rhabdomyosarcoma,0
Obstruction,Unresectable Rhabdomyosarcoma,1
Adult human body,Colorectal Neuroendocrine Tumor G2,0
Known,Metastatic Ductal Breast Carcinoma,1
Tunnel structure,Adult Alveolar Soft Part Sarcoma,0
spindle assembly checkpoint,Diffuse malignant mesothelioma,0
High Level,Diffuse malignant mesothelioma,1
Call (Instruction),Small Lymphocytic Lymphoma with Immunoglobulin Heavy Chain Variable-Region Gene Somatic Hypermutation,0
Recommendation,Undifferentiated Endocervical Sarcoma,0
Common (qualifier value),Acantholytic squamous cell carcinoma,1
Not Otherwise Specified,Neonatal leukemia,0
Survival Rate,Precursor T-lymphoblastic lymphoma/leukemia stage III,1
Traumatic injury,Giant cell angiofibroma,1
shared attribute,Cancer of Urinary Tract,0
History of present illness,Uterine Cancer,0
Removed,Human Papillomavirus-Related Carcinoma,1
Secondary Neoplasm,Anterior Urethral Malignant Neoplasm,0
Treating,Pathologic Stage IA Cutaneous Melanoma AJCC v8,0
Disease,Carcinoma of urinary bladder,1
Americas Ethnicity,Unresectable Rhabdomyosarcoma,1
Does communicate,Small Lymphocytic Lymphoma with Immunoglobulin Heavy Chain Variable-Region Gene Somatic Hypermutation,0
What subject filter - Result,Cancer of Urinary Tract,0
Multiply - dosing instruction fragment,Testicular cancer metastatic,0
Cure (remedy),Metastatic Carcinoma in the Lung,1
Sample Range,Recurrent Testicular Lymphoma,0
Carcinoma,Adenocarcinoma of the prostate metastatic,0
Feelings,Precursor T-lymphoblastic lymphoma/leukemia stage III,0
Non-Secretory Plasma Cell Myeloma,Heavy Chain Deposition Disease,1
Staging:Finding:Point in time:Cancer.To be specified in another part of the message:Narrative,Intestinal Metaplasia of Bladder Urothelium,0
various antiinfectives and antiseptics for local oral treatment,Benign neoplasm of thorax,0
Human body,Testicular cancer metastatic,0
Arising in,Adult Alveolar Soft Part Sarcoma,1
Skin lesion,Malignant melanoma of eyelid,1
Present,Thymic Clear Cell Carcinoma,1
veterans alcoholism screening test (VAST),Adult Hepatocellular Carcinoma,0
Derived value,Airway Hemangioma,0
Effective,Female Breast Carcinoma,1
Infrequent,Childhood Thyroid Gland Follicular Carcinoma,1
Tumor Mass,Noninfiltrating Intraductal Carcinoma,1
Common Specifications in HL7 V3 Publishing,Colorectal Neuroendocrine Tumor G2,1
examination of cervix,Human Papillomavirus-Related Carcinoma,0
Colorectal Cancer Pathway,Colorectal High Grade B-Cell Lymphoma,0
Antimicrobial Susceptibility Result,Mastocytosis,1
Condylomata Acuminata,Maxillary Sinus Adenocarcinoma,1
Relationships,Endometrial Small Cell Carcinoma,0
suggestion,Stage IB Pancreatic Cancer AJCC v8,0
Free (available (qualifier)),BRCA2 Syndrome,0
Original Regulatory Submission,Ampulla of Vater Tubular Adenoma,1
Perianal Squamous Intraepithelial Neoplasia,Acantholytic squamous cell carcinoma,1
Cells,squamous cell carcinoma of the thyroid gland,1
Including (qualifier),Malignant Neoplasm with Regional Lymph Node Involvement,0
best (quality),Breast Ductal Adenoma,0
Pancreas part,Pancreatic Intraepithelial Neoplasia-3,0
Several,Unfavorable Non-Hodgkin Lymphoma,0
Involvement with,Recurrent Testicular Lymphoma,1
QPCT wt Allele,Childhood Central Nervous System Immature Teratoma,0
Involvement with,mucinous adenocarcinoma of gallbladder,1
Symptoms,Localized Askin Tumor,1
Greater Than,Malignant Testicular Sertoli Cell Tumor,1
Patient Reported Outcome Stem,Clonal Hematopoiesis of Indeterminate Potential,0
Adult human body,Maxillary Sinus Adenocarcinoma,0
Radiation,Primary Cutaneous Plasmablastic Lymphoma,1
Direct Extension,Testicular cancer metastatic,1
Stop brand of fluoride,Refractory Barrett Esophagus,0
Activity (animal life circumstance),Thymic Clear Cell Carcinoma,0
unknown vaccine or immune globulin,Recurrent Ph-Like Acute Lymphoblastic Leukemia,1
Total thymectomy,Thymic Clear Cell Carcinoma,1
Relationships,BRCA2 Syndrome,0
Common (qualifier value),Uterine Cancer,0
Including (qualifier),Childhood Lymphoma,0
United States,Precursor T-lymphoblastic lymphoma/leukemia stage III,0
Exposure to,Tonsillar Carcinoma,1
Beginning,Malignant neoplasm of thalamus,0
Specimen Source Codes - Lesion,Benign Apocrine Neoplasm,0
Shapes,Giant cell angiofibroma,0
Common Specifications in HL7 V3 Publishing,Giant cell angiofibroma,0
Person Name,papillary carcinoma of penis,0
Case unit dose,Precursor T-lymphoblastic lymphoma/leukemia stage III,0
Tryptophanase,benign mature teratoma of pancreas,0
Eyelid Diseases,Benign Apocrine Neoplasm,0
Formation,squamous cell carcinoma of the thyroid gland,1
Down Syndrome,Precursor T-lymphoblastic lymphoma/leukemia stage III,0
Due to,Lymphomatous Adult T-Cell Leukemia/Lymphoma,0
Papanicolaou Test,Undifferentiated Endocervical Sarcoma,1
allowing,Small Lymphocytic Lymphoma with Immunoglobulin Heavy Chain Variable-Region Gene Somatic Hypermutation,0
Medical Devices,Pathologic Stage IA Cutaneous Melanoma AJCC v8,0
Cystitis,Cancer of Urinary Tract,0
Administration procedure,Female Breast Carcinoma,0
Cancer Other,Stage IB Pancreatic Cancer AJCC v8,0
Mammal liver preparation,gliosarcoma,0
Nasolacrimal duct structure,Benign Apocrine Neoplasm,0
Nobel Prize,Unresectable Rhabdomyosarcoma,0
Both ovaries,Childhood Central Nervous System Immature Teratoma,0
Chromosomes,BRCA2 Syndrome,0
Solid Dose Form,Pilocytic astrocytoma of cerebellum,1
Consultation,Maxillary Sinus Adenocarcinoma,0
Adolescent (age group),Localized Askin Tumor,1
Upper gastrointestinal tract series,Refractory Barrett Esophagus,0
Microplate Well,Pilocytic astrocytoma of cerebellum,1
Human body structure,papillary carcinoma of penis,0
pharmacotherapeutic,Recurrent Ph-Like Acute Lymphoblastic Leukemia,1
History,Malignant melanoma of eyelid,1
Singular,Lymphomatous Adult T-Cell Leukemia/Lymphoma,0
Detection,Familial Adenomatous Polyposis Associated Medulloblastoma,1
Osteoporosis,Placental aromatase deficiency,0
Large,Recurrent Uveal Melanoma,1
Term (lexical),Digestive System Hodgkin Lymphoma,1
Wash (cleansing action),Diffuse malignant mesothelioma,0
Vagina,Human Papillomavirus-Related Carcinoma,0
CSNK1D wt Allele,Adult Alveolar Soft Part Sarcoma,1
Determined by,Human Papillomavirus-Related Carcinoma,0
Initially,Acute Undifferentiated Leukemia,0
Fasting,Recurrent Uveal Melanoma,1
High,Malignant Testicular Sertoli Cell Tumor,1
penis,Human Papillomavirus-Related Carcinoma,0
Involvement with,Carcinoma of urinary bladder,1
Affecting,Bladder squamous cell carcinoma stage I,1
Unmarried person,adenoid cystic carcinoma of lung,0
Physical shape,Noninfiltrating Intraductal Carcinoma,0
Manufactured form,Neonatal leukemia,0
Absent,Breast Ductal Adenoma,1
Pleural effusion fluid,Localized Askin Tumor,0
Malignant Neoplasms,Recurrent Testicular Lymphoma,1
DNA,BRCA2 Syndrome,0
Science of Etiology,Mastocytosis,1
Primary malignant neoplasm,Unresectable Rhabdomyosarcoma,1
Progress,Anterior Urethral Malignant Neoplasm,0
Treating,Carcinoma of urinary bladder,0
Case unit dose,Small Lymphocytic Lymphoma with Immunoglobulin Heavy Chain Variable-Region Gene Somatic Hypermutation,0
high - ActExposureLevelCode,BRCA2 Syndrome,0
Early,Mucinous adenocarcinoma gastric,1
Hemorrhage,Liver Cavernous Hemangioma,1
Platelets,Precursor T-lymphoblastic lymphoma/leukemia stage III,0
Malignant Neoplasms,Extra-Adrenal Paraganglioma,1
Histologic,Giant cell angiofibroma,1
Occurrence Indicator,Malignant Testicular Sertoli Cell Tumor,0
Neoplasm Metastasis,gliosarcoma,1
seen,Angiosarcoma of liver,1
Less Than,Clonal Hematopoiesis of Indeterminate Potential,0
Management procedure,Mucinous neoplasm,0
data type - ratio,Angiosarcoma of liver,0
fluid - substance,Diffuse malignant mesothelioma,0
Lead,FIGO Stage II Ovarian Cancer,0
Cancer Genus,Stage IB Lung Cancer AJCC v7,0
Qualitative form,Heavy Chain Deposition Disease,0
Lymphadenopathy,Precursor T-lymphoblastic lymphoma/leukemia stage III,1
eTMF Content Model Code,Leptomeningeal sarcoma,0
Abnormal Reference Range,Undifferentiated Endocervical Sarcoma,0
newly,Regional Urothelial Carcinoma of the Renal Pelvis and Ureter,1
Pediatric Neoplasm,Childhood Central Nervous System Immature Teratoma,0
Singular,Cancer of Urinary Tract,0
*Type - Kind of quantity,Undifferentiated Endocervical Sarcoma,1
Upper arm,Childhood Lymphoma,0
VARIOUS DRUG CLASSES IN ATC,Benign Carotid Body Paraganglioma,1
Common (qualifier value),Diffuse malignant mesothelioma,1
Group Object,Neonatal leukemia,0
include - SetOperator,Tonsillar Carcinoma,0
Nausea,Mucinous adenocarcinoma gastric,0
shared attribute,Adult Hepatocellular Carcinoma,0
Percent normal,Epipodophyllotoxin-Related Myelodysplastic Syndrome,1
aromatase activity,Placental aromatase deficiency,0
Malignant neoplasm of skin,Pathologic Stage IA Cutaneous Melanoma AJCC v8,1
Presacral,benign mature teratoma of pancreas,1
Age,Clonal Hematopoiesis of Indeterminate Potential,0
Function (attribute),Thymic Clear Cell Carcinoma,1
Case unit dose,Malignant Testicular Sertoli Cell Tumor,0
Stomach,Colorectal cancer,0
PAGR1 wt Allele,Angiosarcoma of liver,0
Neck,Recurrent Testicular Lymphoma,0
radiotherapeutic,Malignant melanoma of eyelid,0
Historical aspects qualifier,Uterine Cancer,0
List,Malignant Neoplasm of Lung - Multiple Primary Sites,0
Overall Survival,Recurrent Testicular Lymphoma,1
Childhood Diffuse Large B-Cell Lymphoma,Recurrent Testicular Lymphoma,1
Genus Labia,Maxillary Sinus Adenocarcinoma,1
migrated,Adult Alveolar Soft Part Sarcoma,1
Asymptomatic Diseases,Recurrent Testicular Lymphoma,1
Abnormally high,BRCA2 Syndrome,0
Chemotherapy Regimen,Mucinous adenocarcinoma gastric,0
mesenchymal,Adult Alveolar Soft Part Sarcoma,1
Synonym,Acute lymphadenitis,0
Case unit dose,FIGO Stage II Ovarian Cancer,0
Recurrent infections,Cancer of Urinary Tract,0
Malignant neoplasm of stomach,Mucinous adenocarcinoma gastric,1
Percent normal,Endometrial Small Cell Carcinoma,1
Presence (property),Atypical Lobular Breast Hyperplasia,1
shared attribute,Tonsillar Carcinoma,0
Unit,Childhood Thyroid Gland Follicular Carcinoma,0
Legal Adult,Thymic Clear Cell Carcinoma,0
Human Cells,Mucinous adenocarcinoma gastric,1
Stop (qualifier value),Heavy Chain Deposition Disease,0
Clone,Clonal Hematopoiesis of Indeterminate Potential,0
Same,Cartilaginous exostosis,0
Red blood cells,Epipodophyllotoxin-Related Myelodysplastic Syndrome,0
Female Phenotype,Cancer of Urinary Tract,0
Sample Range,Ichthyoses,0
Lymphocyte component of blood,Stage I Adult Non-Hodgkin Lymphoma,0
Japan,Mucinous adenocarcinoma gastric,0
Hyperlink,Angiosarcoma of liver,0
subapical complex location,Diffuse malignant mesothelioma,1
CD69 wt Allele,Ichthyosis,1
Often - answer to question,Hodgkin lymphoma,0
Synonym,Recurrent Testicular Lymphoma,0
therapeutic aspects,Airway Hemangioma,0
membrane attack complex location,Regional Urothelial Carcinoma of the Renal Pelvis and Ureter,0
Version (morphologic abnormality),Secondary malignant neoplasm of lymph node,0
Decision,Childhood Lymphoma,0
Biopsy,Spongiotic dermatitis,0
Abdomen,Pancreatic Intraepithelial Neoplasia-3,0
depend,Intestinal Metaplasia of Bladder Urothelium,0
Unit of Measure,Childhood Thyroid Gland Follicular Carcinoma,1
First (number),Recurrent Ph-Like Acute Lymphoblastic Leukemia,0
Staging system,Testicular cancer metastatic,0
Smear - instruction imperative,Bladder squamous cell carcinoma stage I,0
Plasma,Digestive System Hodgkin Lymphoma,0
Use of,Advanced Uterine Corpus Carcinosarcoma,0
Symptoms,Stage I Adult Non-Hodgkin Lymphoma,1
Magnetic Resonance Imaging,Anterior Urethral Malignant Neoplasm,0
Pallor,Acute Undifferentiated Leukemia,1
Aspects of signs,Anterior Urethral Malignant Neoplasm,0
Malignant Cell Count,Heavy Chain Deposition Disease,1
Operative Surgical Procedures,Refractory Barrett Esophagus,1
Common Specifications in HL7 V3 Publishing,Colorectal High Grade B-Cell Lymphoma,0
Over (spatial),Heavy Chain Deposition Disease,1
Cover - action,Secondary malignant neoplasm of lymph node,0
Life Threatening or Disabling Adverse Event,Female Breast Carcinoma,1
Net (qualifier),Stage III Gastric Neuroendocrine Tumor AJCC v8,0
Lymphoma,Nodular Lymphocyte Predominant Hodgkin Lymphoma,1
Smear - instruction imperative,Pancreatic Intraepithelial Neoplasia-3,0
Progestins,Undifferentiated Endocervical Sarcoma,0
Relationships,Intracortical osteosarcoma,0
Carcinoma,Intestinal Metaplasia of Bladder Urothelium,1
Able to Concentrate Question,Digestive System Hodgkin Lymphoma,1
active (HL7 RoleLink),Malignant melanoma of eyelid,0
Chemicals,Carcinoma of urinary bladder,0
size,Thymic Clear Cell Carcinoma,1
Reduced,FIGO Stage II Ovarian Cancer,1
Mass of body region,benign mature teratoma of pancreas,1
Brain Neoplasms,Recurrent Diffuse Intrinsic Pontine Glioma,0
Subject Risk,Recurrent Uveal Melanoma,1
Elbow joint structure,Cartilaginous exostosis,0
Financial Account,Recurrent Testicular Lymphoma,0
Morphology,Noninfiltrating Intraductal Carcinoma,0
Colon <insect>,Anterior Urethral Malignant Neoplasm,0
Complete Trisomy 21 Syndrome,Precursor T-lymphoblastic lymphoma/leukemia stage III,1
Slightly (qualifier value),Pathologic Stage IA Cutaneous Melanoma AJCC v8,0
Person Name,Carcinoma ex pleomorphic adenoma of parotid gland,0
Nevus,Malignant melanoma of eyelid,0
Eye,Pathologic Stage IA Cutaneous Melanoma AJCC v8,0
Contact with,Human Papillomavirus-Related Carcinoma,1
Breast Carcinoma,Testicular cancer metastatic,1
Cessation of life,Undifferentiated Endocervical Sarcoma,1
Biomaterial Treatment,Primary Cutaneous Plasmablastic Lymphoma,1
Body tissue,Thymic Clear Cell Carcinoma,0
Europe,Intestinal Metaplasia of Bladder Urothelium,0
General surgery specialty,Uterine Cancer,0
High,Malignant melanoma of eyelid,1
Neoplasms,Colorectal Neuroendocrine Tumor G2,0
High risk,Colorectal cancer,0
Weight decreased,Mucinous adenocarcinoma gastric,1
Manufactured form,Secondary malignant neoplasm of lymph node,0
Short Value,Extracranial Neuroblastoma,1
General surgery specialty,Intestinal Metaplasia of Bladder Urothelium,0
Symptoms,Tonsillar Carcinoma,1
Mediator brand of benfluorex hydrochloride,Heavy Chain Deposition Disease,0
Infection caused by Helicobacter pylori,Mucinous adenocarcinoma gastric,1
Left sided,Familial Adenomatous Polyposis Associated Medulloblastoma,0
Type - attribute,Stage IB Pancreatic Cancer AJCC v8,0
Antibodies,Unresectable Rhabdomyosarcoma,0
Sequence Data Type,Secondary malignant neoplasm of lymph node,0
Most,Digestive System Hodgkin Lymphoma,0
Japanese language,Unresectable Rhabdomyosarcoma,0
Symptoms aspect,Bladder squamous cell carcinoma stage I,1
Have Shortness of Breath question,Diffuse malignant mesothelioma,1
Qualitative form,Adult Fibrolamellar Carcinoma,0
Rare,gliosarcoma,1
Extension,Intracortical osteosarcoma,1
Providing presence (regime/therapy),Hemangioma,0
Diagnosis,Recurrent Testicular Lymphoma,1
Screening Study,FIGO Stage II Ovarian Cancer,0
Can Do Very Little,Grade 1 Clear Cell Renal Cell Carcinoma,0
human AVP protein,Atypical Lobular Breast Hyperplasia,0
Suspected qualifier,Diffuse malignant mesothelioma,0
Primary malignant neoplasm,Endometrial Small Cell Carcinoma,1
Imaging Techniques,Carcinoma of urinary bladder,0
Tears - SpecimenType,Benign Apocrine Neoplasm,0
Solitary leiomyoma,Deep Leiomyoma,0
Nose,Benign Apocrine Neoplasm,0
Condition,Mucinous adenocarcinoma gastric,0
leukemia,Neonatal leukemia,0
Weight,Refractory Barrett Esophagus,0
Exclude,Atypical Lobular Breast Hyperplasia,0
Definitely Related to Intervention,Regional Urothelial Carcinoma of the Renal Pelvis and Ureter,1
Pap smear,Human Papillomavirus-Related Carcinoma,0
Inguinal part of abdomen,Recurrent Testicular Lymphoma,0
A Codes,Secondary malignant neoplasm of lymph node,0
Old,Epipodophyllotoxin-Related Myelodysplastic Syndrome,1
Immature,Precursor T-lymphoblastic lymphoma/leukemia stage III,1
Prophylactic treatment,Diffuse malignant mesothelioma,1
Negation,Neonatal leukemia,0
Manufactured form,Mucinous neoplasm,0
morphological,Rhabdomyosarcoma with ganglionic differentiation,0
Fish Flavor,Ichthyosis,0
Obesity,Endometrial Small Cell Carcinoma,1
risk factors - observation list,Diffuse malignant mesothelioma,0
Bone pain,Acute Undifferentiated Leukemia,1
Deoxyribonucleic Acid Measurement,Lymphomatous Adult T-Cell Leukemia/Lymphoma,1
include - SetOperator,Malignant melanoma of eyelid,0
Administration procedure,Acantholytic squamous cell carcinoma,0
Oral (intended site),Giant cell angiofibroma,0
Michigan alcoholism screening test,Mastocytosis,0
Relationships,Rhabdomyosarcoma with ganglionic differentiation,0
More Often than Once a Day,Regional Urothelial Carcinoma of the Renal Pelvis and Ureter,0
Death Related to Adverse Event,Recurrent Ph-Like Acute Lymphoblastic Leukemia,1
Colon <insect>,Familial Adenomatous Polyposis Associated Medulloblastoma,1
Nausea,Mucinous adenocarcinoma gastric,0
Mobility aid,Grade 1 Clear Cell Renal Cell Carcinoma,0
Reciprocal translocation,Localized Askin Tumor,1
Diagnosis,Intestinal Metaplasia of Bladder Urothelium,1
Carrying,Angiosarcoma of liver,1
Common Specifications in HL7 V3 Publishing,FIGO Stage II Ovarian Cancer,0
