CUI1,CUI2,Prediction
Retinoic Acid Response Element,Serous cystadenocarcinoma ovary,1
Participation Type - origin,Adult Alveolar Soft Part Sarcoma,1
Retinoic Acid Response Element,Urethral Carcinoma,1
Symptoms aspect,Stage I Adult Non-Hodgkin Lymphoma,1
Infrequent,Extra-Adrenal Paraganglioma,1
Rare,Uterine Cancer,1
Diagnosis,Undifferentiated Endocervical Sarcoma,1
regional,Pilocytic astrocytoma of cerebellum,1
Reduced,Thymic Clear Cell Carcinoma,1
Loss of appetite (finding),Stage IB Pancreatic Cancer AJCC v8,1
AS virus,Human Papillomavirus-Related Carcinoma,1
Tryptophanase,Female Breast Carcinoma,1
Lymphoma,Hodgkin lymphoma,1
Binding Sites,Small Lymphocytic Lymphoma with Immunoglobulin Heavy Chain Variable-Region Gene Somatic Hypermutation,1
Bothered by Night Sweats,Stage I Adult Non-Hodgkin Lymphoma,1
Present,Intermediate Grade Salivary Gland Mucoepidermoid Carcinoma,1
Decrease,Mucinous adenocarcinoma gastric,1
seen,Carcinoma ex pleomorphic adenoma of parotid gland,1
MUTYH gene,Familial Adenomatous Polyposis Associated Medulloblastoma,1
Disease,Mucinous adenocarcinoma gastric,1
Limited stage (cancer stage),Undifferentiated Endocervical Sarcoma,1
Severe Extremity Pain,Cartilaginous exostosis,1
Lymphoma,Methotrexate-Associated Hodgkin Lymphoma,1
Onset of (contextual qualifier),Acantholytic squamous cell carcinoma,1
Prior Chemotherapy,Recurrent Ph-Like Acute Lymphoblastic Leukemia,1
include - SetOperator,Methotrexate-Associated Hodgkin Lymphoma,1
Patient Reported Outcome,Mastocytosis,1
Fever symptoms (finding),Acute Undifferentiated Leukemia,1
Primary malignant neoplasm of lung,Testicular cancer metastatic,1
Extravasation,Liver Cavernous Hemangioma,1
cell activation,Small Lymphocytic Lymphoma with Immunoglobulin Heavy Chain Variable-Region Gene Somatic Hypermutation,1
Mass,Recurrent Testicular Lymphoma,1
Name,Carcinoma ex pleomorphic adenoma of parotid gland,1
Neoplasm Metastasis,Testicular cancer metastatic,1
Bladder Cancer Pathway,Carcinoma of urinary bladder,1
New,Precursor T-lymphoblastic lymphoma/leukemia stage III,1
Continuance of life,Small Lymphocytic Lymphoma with Immunoglobulin Heavy Chain Variable-Region Gene Somatic Hypermutation,1
Entity Determiner - specific,Intracortical osteosarcoma,1
Term (lexical),Pancreatic Intraepithelial Neoplasia-3,1
Response Likelihood,Female Breast Carcinoma,1
Large,Precursor T-lymphoblastic lymphoma/leukemia stage III,1
treatment - ActInformationManagementReason,Breast Ductal Adenoma,1
Usually Need Help from Another Person for Eating,Refractory Barrett Esophagus,1
Diagnosis,Adult Fibrolamellar Carcinoma,1
Primary,Choroid Necrotic Melanoma,1
Infrequent,Angiosarcoma of liver,1
Dangerousness,Pathologic Stage IA Cutaneous Melanoma AJCC v8,1
Recurrence,Acute Undifferentiated Leukemia,1
Variable (uniformity),Carcinoma ex pleomorphic adenoma of parotid gland,1
Damage,BRCA2 Syndrome,1
CD69 wt Allele,Precursor T-lymphoblastic lymphoma/leukemia stage III,1
Hormonal,Stage I Gastric Neuroendocrine Tumor AJCC v8,1
Visible,Adult Alveolar Soft Part Sarcoma,1
Cancer Etiology,Acute Undifferentiated Leukemia,1
Disseminated Malignant Neoplasm,Acute Undifferentiated Leukemia,1
foreign,Thymic Clear Cell Carcinoma,1
Mass of body structure,Tonsillar Carcinoma,1
400,Malignant Testicular Sertoli Cell Tumor,1
Glioblastoma Multiforme,Advanced Uterine Corpus Carcinosarcoma,1
Young Adult,Pilocytic astrocytoma of cerebellum,1
Benign,Atypical Lobular Breast Hyperplasia,1
>40 years,adenoid cystic carcinoma of lung,1
Common wart,Human Papillomavirus-Related Carcinoma,1
Singular,Thymic Clear Cell Carcinoma,1
Reflux,Refractory Barrett Esophagus,1
low,Human Papillomavirus-Related Carcinoma,1
Histamine Antagonists,Refractory Barrett Esophagus,1
Neoplasm Metastasis,Malignant melanoma of eyelid,1
Extremely Agree,Recurrent Testicular Lymphoma,1
Blood group A (finding),Methotrexate-Associated Hodgkin Lymphoma,1
Gender Status - Intact,Spermatocytic seminoma,1
3+ Score,Mucinous adenocarcinoma gastric,1
Block (unit of presentation),Unresectable Rhabdomyosarcoma,1
Death Related to Adverse Event,Acute Undifferentiated Leukemia,1
Site of,Digestive System Hodgkin Lymphoma,1
How Much Distress Itching,Methotrexate-Associated Hodgkin Lymphoma,1
Increased,Acute Undifferentiated Leukemia,1
bony process,adenosquamous carcinoma of breast,1
Disease,Undifferentiated Endocervical Sarcoma,1
Breathing Distress Question,Larynx carcinoma recurrent,1
Benign melanocytic nevus,Pathologic Stage IA Cutaneous Melanoma AJCC v8,1
Retinoic Acid Response Element,Diffuse malignant mesothelioma,1
Biopsy,Localized Askin Tumor,1
early disease,Primary Cutaneous Plasmablastic Lymphoma,1
Cutaneous (intended site),Deep Leiomyoma,1
FAMILIAL ADENOMATOUS POLYPOSIS,Familial Adenomatous Polyposis Associated Medulloblastoma,1
Cells,Digestive System Hodgkin Lymphoma,1
Feelings,Epipodophyllotoxin-Related Myelodysplastic Syndrome,1
Rare,adenoid cystic carcinoma of lung,1
Type A,Diffuse malignant mesothelioma,1
Stem of Organ,Intracortical osteosarcoma,1
Neoplasm Metastasis,Familial Adenomatous Polyposis Associated Medulloblastoma,1
Neoplasm Metastasis,Recurrent Uveal Melanoma,1
Malignant Neoplasms,Hodgkin lymphoma,1
In Blood,Epipodophyllotoxin-Related Myelodysplastic Syndrome,1
Local disease,Recurrent Uveal Melanoma,1
Specific qualifier value,Adult Hepatocellular Carcinoma,1
Numerous,Acute Undifferentiated Leukemia,1
Gene Cluster Text Format,Childhood Central Nervous System Immature Teratoma,1
Specific qualifier value,Epipodophyllotoxin-Related Myelodysplastic Syndrome,1
Malignant Neoplasms,Human Papillomavirus-Related Carcinoma,1
Known,Liver Cavernous Hemangioma,1
Long Variable,BRCA2 Syndrome,1
Primary malignant neoplasm,Stage I Adult Non-Hodgkin Lymphoma,1
Symptoms,Malignant Testicular Sertoli Cell Tumor,1
Young Adult,Adult Alveolar Soft Part Sarcoma,1
Cancer Genus,Choroid Necrotic Melanoma,1
<50,Precursor T-lymphoblastic lymphoma/leukemia stage III,1
Diagnosis Study,Pathologic Stage IA Cutaneous Melanoma AJCC v8,1
Five-year Survival Rate,FIGO Stage II Ovarian Cancer,1
Cell Count,Carcinoma of urinary bladder,1
Impaired skin integrity,Recurrent Uveal Melanoma,1
How Often Felt Normal question,Undifferentiated Endocervical Sarcoma,1
Beginning,Granular Cell Leiomyosarcoma,1
Include (action),Malignant Testicular Sertoli Cell Tumor,1
Pediculus humanus capitis (eukaryote),Intracortical osteosarcoma,1
Primary operation,Serous cystadenocarcinoma ovary,1
Common (qualifier value),adenosquamous carcinoma of breast,1
Diagnosis Study,Mucinous adenocarcinoma gastric,1
Subject Risk,Malignant melanoma of eyelid,1
Obesity,Pancreatic Intraepithelial Neoplasia-3,1
Firstly,Giant cell angiofibroma,1
Benign,Choroid Necrotic Melanoma,1
Initially,Epipodophyllotoxin-Related Myelodysplastic Syndrome,1
Exclusion,Atypical Lobular Breast Hyperplasia,1
Table Cell Horizontal Align - left,Epipodophyllotoxin-Related Myelodysplastic Syndrome,1
Clinical Effectiveness,Female Breast Carcinoma,1
Aggressive course,Primary Cutaneous Plasmablastic Lymphoma,1
Malignant neoplasm of skin,Recurrent Uveal Melanoma,1
Neoplasm Metastasis,mucinous adenocarcinoma of gallbladder,1
Low Back Pain,Carcinoma of urinary bladder,1
Direct (qualifier),Human Papillomavirus-Related Carcinoma,1
Genetic syndrome,Mucinous adenocarcinoma gastric,1
Polymerization,Angiosarcoma of liver,1
AS virus,Tonsillar Carcinoma,1
Tumor type,Serous cystadenocarcinoma ovary,1
Usual Severity Itching,Mastocytosis,1
Active,Pathologic Stage IA Cutaneous Melanoma AJCC v8,1
Rare,Cartilaginous exostosis,1
Have Pain,Localized Askin Tumor,1
Increase,Human Papillomavirus-Related Carcinoma,1
Symptoms,Unfavorable Non-Hodgkin Lymphoma,1
Increase,Diffuse malignant mesothelioma,1
Biopsy,Pathologic Stage IA Cutaneous Melanoma AJCC v8,1
Five,Acantholytic squamous cell carcinoma,1
Embryonic Development,Stage II Hepatocellular Carcinoma AJCC v6 and v7,1
Genus Homo,Angiosarcoma of liver,1
Experimental Result,Recurrent Ph-Like Acute Lymphoblastic Leukemia,1
Primary malignant neoplasm,papillary carcinoma of penis,1
Anorexia,Mucinous adenocarcinoma gastric,1
Known,Endometrial Small Cell Carcinoma,1
Basis - conceptual entity,Localized Askin Tumor,1
85,Metastatic Carcinoma in the Lung,1
Symptoms aspect,Mucinous adenocarcinoma gastric,1
Increased,BRCA2 Syndrome,1
+2,Acantholytic squamous cell carcinoma,1
CD5L wt Allele,Precursor T-lymphoblastic lymphoma/leukemia stage III,1
Less Than,Recurrent Uveal Melanoma,1
Morbidity - disease rate,Mucinous adenocarcinoma gastric,1
Manufactured sign,Methotrexate-Associated Hodgkin Lymphoma,1
Pallor of skin,Acute Undifferentiated Leukemia,1
White blood cell count normal,Epipodophyllotoxin-Related Myelodysplastic Syndrome,1
Feature,Blepharal carcinoma,1
Surrounding (qualifier value),Diffuse malignant mesothelioma,1
Array Feature,Blepharal carcinoma,1
Thick,Malignant melanoma of eyelid,1
Type - attribute,adenosquamous carcinoma of breast,1
Phenotype,Testicular cancer metastatic,1
Hodgkin Disease,Nodular Lymphocyte Predominant Hodgkin Lymphoma,1
Negation,Thymic Clear Cell Carcinoma,1
Malignant neoplasm of lung,Metastatic Carcinoma in the Lung,1
Greater than one,Mucinous adenocarcinoma gastric,1
Injury due to exposure to external cause,Endometrial Small Cell Carcinoma,1
Most,Human Papillomavirus-Related Carcinoma,1
Intercellular edema,Spongiotic dermatitis,1
Interstitial Fluid,Digestive System Hodgkin Lymphoma,1
Dropping,Epipodophyllotoxin-Related Myelodysplastic Syndrome,1
Pelvic Pain,FIGO Stage II Ovarian Cancer,1
Alveolus,Adult Alveolar Soft Part Sarcoma,1
Human Cells,Serous cystadenocarcinoma ovary,1
Usual Severity Nausea,Unfavorable Non-Hodgkin Lymphoma,1
PSA Level Greater than Fifty,Extracranial Neuroblastoma,1
Consistency,Acute lymphadenitis,1
Over (spatial),Lymphomatous Adult T-Cell Leukemia/Lymphoma,1
65+,Mucinous adenocarcinoma gastric,1
Multiple Myeloma,Methotrexate-Associated Hodgkin Lymphoma,1
Tumor Mass,Female Breast Carcinoma,1
Symptoms,Recurrent Ph-Like Acute Lymphoblastic Leukemia,1
Present,Stage I Gastric Neuroendocrine Tumor AJCC v8,1
Feelings,Acute Undifferentiated Leukemia,1
Major <insect>,Stage I Adult Non-Hodgkin Lymphoma,1
Unintentional,Methotrexate-Associated Hodgkin Lymphoma,1
Characterization,Adult Alveolar Soft Part Sarcoma,1
Obesity,Undifferentiated Endocervical Sarcoma,1
Clone Cells,Clonal Hematopoiesis of Indeterminate Potential,1
Beginning,Acantholytic squamous cell carcinoma,1
Overall Publication Type,Extra-Adrenal Paraganglioma,1
Risk,Endometrial Small Cell Carcinoma,1
Adult Lymphoma,Malignant Neoplasm with Regional Lymph Node Involvement,1
Case (situation),Human Papillomavirus-Related Carcinoma,1
Including (qualifier),Methotrexate-Associated Hodgkin Lymphoma,1
Precipitating Factors,Precursor T-lymphoblastic lymphoma/leukemia stage III,1
ATG5 wt Allele,Adult Alveolar Soft Part Sarcoma,1
Including (qualifier),Regional Urothelial Carcinoma of the Renal Pelvis and Ureter,1
Benign,Recurrent Testicular Lymphoma,1
Involvement with,Localized Askin Tumor,1
Target Lesion Identification,Familial Hemophagocytic Lymphocytosis,1
Arising,Intestinal Metaplasia of Bladder Urothelium,1
Tubal Ligation,FIGO Stage II Ovarian Cancer,1
Metabolic Syndrome X,Uterine Cancer,1
Tissue damage,Stage II Hepatocellular Carcinoma AJCC v6 and v7,1
Mass of body region,Stage IB Pancreatic Cancer AJCC v8,1
Human papilloma virus infection,Stage II Carcinoma of Penis,1
Tanning of leather,Acantholytic squamous cell carcinoma,1
Tumor Mass,Adenocarcinoma of the prostate metastatic,1
Partial,Carcinoma of urinary bladder,1
Symptoms,Acute Undifferentiated Leukemia,1
Areas <moth>,Malignant melanoma of eyelid,1
Band form,Childhood Thyroid Gland Follicular Carcinoma,1
Differentiation,Small Lymphocytic Lymphoma with Immunoglobulin Heavy Chain Variable-Region Gene Somatic Hypermutation,1
Presentation,Deep Leiomyoma,1
Average of Value Derivation Technique,gliosarcoma,1
Color,Recurrent Ph-Like Acute Lymphoblastic Leukemia,1
Comparison,Metastatic Carcinoma in the Lung,1
Present,Colorectal Neuroendocrine Tumor G2,1
Clear,Giant cell angiofibroma,1
Symptoms aspect,squamous cell carcinoma of the thyroid gland,1
Diagnosis Study,Stage IB Pancreatic Cancer AJCC v8,1
Cure (remedy),Mucinous adenocarcinoma gastric,1
Negative Selection,Thymic Clear Cell Carcinoma,1
Importance Rating Score 0,BRCA2 Syndrome,1
Fatigue,Acute Undifferentiated Leukemia,1
Bone Pain,Acute Undifferentiated Leukemia,1
3+ Score,Recurrent Uveal Melanoma,1
Developed Countries,Endometrial Small Cell Carcinoma,1
Cell division,Recurrent Ph-Like Acute Lymphoblastic Leukemia,1
Primary malignant neoplasm,Angiosarcoma of liver,1
Lesion,Atypical Lobular Breast Hyperplasia,1
Recurrent infections,Carcinoma of urinary bladder,1
First sign,Undifferentiated Endocervical Sarcoma,1
Approximate,Adult Fibrolamellar Carcinoma,1
Jumping,Extracranial Neuroblastoma,1
Therapeutic procedure,Epipodophyllotoxin-Related Myelodysplastic Syndrome,1
Bone Growth,Cartilaginous exostosis,1
Recurrent infections,Intestinal Metaplasia of Bladder Urothelium,1
Base - General Qualifier,Recurrent Ph-Like Acute Lymphoblastic Leukemia,1
Basis,Breast Ductal Adenoma,1
Followed by,Precursor T-lymphoblastic lymphoma/leukemia stage III,1
Negation,Choroid Necrotic Melanoma,1
Small,Acantholytic squamous cell carcinoma,1
Benign,benign mature teratoma of pancreas,1
Approximate,Tonsillar Carcinoma,1
Referring,Undifferentiated Endocervical Sarcoma,1
Pain Distress Question,Regional Urothelial Carcinoma of the Renal Pelvis and Ureter,1
Stem cell transplant,Acute Undifferentiated Leukemia,1
Fever,Hodgkin lymphoma,1
Effective,Human Papillomavirus-Related Carcinoma,1
Metastatic Neoplasm,Tonsillar Carcinoma,1
Symptoms,adenosquamous carcinoma of breast,1
Effective,Acantholytic squamous cell carcinoma,1
associated disease,Liver Cavernous Hemangioma,1
Diagnostic Neoplasm Staging,Bladder squamous cell carcinoma stage I,1
CD44 wt Allele,Thymic Clear Cell Carcinoma,1
Name Given at Birth,Airway Hemangioma,1
Diagnosis Study,Carcinoma of urinary bladder,1
risk factors,Epipodophyllotoxin-Related Myelodysplastic Syndrome,1
Smaller,Diffuse malignant mesothelioma,1
Generalization (Psychology),Primary Cutaneous Plasmablastic Lymphoma,1
Symptoms aspect,Unfavorable Non-Hodgkin Lymphoma,1
Greater Than,Endometrial Small Cell Carcinoma,1
Edema,Malignant Testicular Sertoli Cell Tumor,1
Possible diagnosis,Metastatic Carcinoma in the Lung,1
Discharge,Stage II Carcinoma of Penis,1
Retinoic Acid Response Element,Recurrent Uveal Melanoma,1
Fatigue,Stage I Adult Non-Hodgkin Lymphoma,1
Symptoms,Liver Cavernous Hemangioma,1
Symptoms aspect,Anterior Urethral Malignant Neoplasm,1
Immunotherapy,Localized Askin Tumor,1
Diagnosis Study,Recurrent Ph-Like Acute Lymphoblastic Leukemia,1
Malignant - descriptor,benign mature teratoma of pancreas,1
Average of Value Derivation Technique,FIGO Stage II Ovarian Cancer,1
Notable,Recurrent Ph-Like Acute Lymphoblastic Leukemia,1
Common (qualifier value),Recurrent Ph-Like Acute Lymphoblastic Leukemia,1
Frequently,Intestinal Neuroendocrine Carcinoma,1
Pediculus humanus capitis (eukaryote),adenoid cystic carcinoma of lung,1
Mechanism (attribute),Small Lymphocytic Lymphoma with Immunoglobulin Heavy Chain Variable-Region Gene Somatic Hypermutation,1
Including (qualifier),Hodgkin lymphoma,1
Biomaterial Treatment,Human Papillomavirus-Related Carcinoma,1
Usual,Breast Ductal Adenoma,1
Condylomata Acuminata,Human Papillomavirus-Related Carcinoma,1
Symptoms,Clonal Hematopoiesis of Indeterminate Potential,1
How Often Weight Loss,Methotrexate-Associated Hodgkin Lymphoma,1
<3 (qualifier value),Pathologic Stage IA Cutaneous Melanoma AJCC v8,1
Affecting,Stage I Adult Non-Hodgkin Lymphoma,1
early detection of cervical cancer,Human Papillomavirus-Related Carcinoma,1
Common (qualifier value),adenoid cystic carcinoma of lung,1
Including (qualifier),Digestive System Hodgkin Lymphoma,1
30%,Human Papillomavirus-Related Carcinoma,1
Fever,Recurrent Ph-Like Acute Lymphoblastic Leukemia,1
Including (qualifier),Recurrent Uveal Melanoma,1
Stage Grouping,Heavy Chain Deposition Disease,1
Greece,Human Papillomavirus-Related Carcinoma,1
Experimental Result,Acantholytic squamous cell carcinoma,1
Adenocarcinoma,Intestinal Metaplasia of Bladder Urothelium,1
Tumor type,Recurrent Diffuse Intrinsic Pontine Glioma,1
Tumor Mass,Leptomeningeal sarcoma,1
Pathogenic organism,Small Lymphocytic Lymphoma with Immunoglobulin Heavy Chain Variable-Region Gene Somatic Hypermutation,1
Lymphoma,Stage I Adult Non-Hodgkin Lymphoma,1
Skin tanning,Pathologic Stage IA Cutaneous Melanoma AJCC v8,1
Mixed Tumor,Carcinoma ex pleomorphic adenoma of parotid gland,1
Cell Count,Giant cell angiofibroma,1
*Type - Kind of quantity,Adult Hepatocellular Carcinoma,1
Surrounding (qualifier value),Deep Leiomyoma,1
Calcium Channel Antagonists [MoA],Refractory Barrett Esophagus,1
Cell Invasion,Small Lymphocytic Lymphoma with Immunoglobulin Heavy Chain Variable-Region Gene Somatic Hypermutation,1
Breathing Distress Question,Refractory Barrett Esophagus,1
Immunotherapy,Recurrent Uveal Melanoma,1
newly,Testicular cancer metastatic,1
Involvement with,Precursor T-lymphoblastic lymphoma/leukemia stage III,1
Offspring,Adult Alveolar Soft Part Sarcoma,1
Blood Circulation,Testicular cancer metastatic,1
Concept History,Malignant melanoma of eyelid,1
Estimated,Human Papillomavirus-Related Carcinoma,1
76,Endometrial Small Cell Carcinoma,1
Disease,Refractory Barrett Esophagus,1
Base - General Qualifier,Granular Cell Leiomyosarcoma,1
Flat shape,Atypical Mesothelial Hyperplasia,1
Type A,Stage II Hepatocellular Carcinoma AJCC v6 and v7,1
Usually Need Help from Another Person for Arising,Carcinoma of urinary bladder,1
Formation,Female Breast Carcinoma,1
Papanicolaou Test,Human Papillomavirus-Related Carcinoma,1
Biomaterial Treatment,Breast Ductal Adenoma,1
Cell Count,Recurrent Uveal Melanoma,1
Etiology,Acute lymphadenitis,1
Increased,Undifferentiated Endocervical Sarcoma,1
How Much Distress Shortness of Breath,Diffuse malignant mesothelioma,1
described,Papillary cystic tumor,1
Rapid,Recurrent Uveal Melanoma,1
Medical Device Emits Smoke,Stage II Carcinoma of Penis,1
Early,Spermatocytic seminoma,1
Primary malignant neoplasm,Maxillary Sinus Adenocarcinoma,1
Stem cell transplant,Recurrent Ph-Like Acute Lymphoblastic Leukemia,1
Cessation of life,Acantholytic squamous cell carcinoma,1
Obesity,Undifferentiated Endocervical Sarcoma,1
PSA Level Greater than Fifty,Recurrent Ph-Like Acute Lymphoblastic Leukemia,1
Dual,Carcinoma ex pleomorphic adenoma of parotid gland,1
Classification,Noninfiltrating Intraductal Carcinoma,1
Manufactured form,Adult Fibrolamellar Carcinoma,1
seen,Bladder squamous cell carcinoma stage I,1
Definitive,Anterior Urethral Malignant Neoplasm,1
Infrequent,Adult Fibrolamellar Carcinoma,1
N+ (tumor staging),Tonsillar Carcinoma,1
Definitely Related to Intervention,Pancreatic Intraepithelial Neoplasia-3,1
Chemotherapy Regimen,Malignant Testicular Sertoli Cell Tumor,1
Major <insect>,Nodular Lymphocyte Predominant Hodgkin Lymphoma,1
Present,Atypical Mesothelial Hyperplasia,1
Hyperplasia,Atypical Mesothelial Hyperplasia,1
Epithelium of large intestine,Familial Adenomatous Polyposis Associated Medulloblastoma,1
Ability,Endometrial Small Cell Carcinoma,1
Life threatening - Event Consequence,Breast Ductal Adenoma,1
Have Weight Loss,Regional Urothelial Carcinoma of the Renal Pelvis and Ureter,1
Causing,Malignant neoplasm of choroid,1
Present,FIGO Stage II Ovarian Cancer,1
Serving,Female Breast Carcinoma,1
Cancer Genus,mucinous adenocarcinoma of gallbladder,1
Arising,Carcinoma of urinary bladder,1
The Cancer Genome Atlas,Advanced Uterine Corpus Carcinosarcoma,1
High Level,Acantholytic squamous cell carcinoma,1
Broken skin,Recurrent Uveal Melanoma,1
Numerous,Recurrent Testicular Lymphoma,1
Tryptophanase,Unresectable Rhabdomyosarcoma,1
Incidence,Adult Hepatocellular Carcinoma,1
Low Level,Clonal Hematopoiesis of Indeterminate Potential,1
Cells,Adenocarcinoma,1
Category Type,Methotrexate-Associated Hodgkin Lymphoma,1
<50,Acute Undifferentiated Leukemia,1
Tumor Cell Invasion,Small Lymphocytic Lymphoma with Immunoglobulin Heavy Chain Variable-Region Gene Somatic Hypermutation,1
Superkingdom (taxonomic category),Leptomeningeal sarcoma,1
Group A (blood group),Intestinal Neuroendocrine Carcinoma,1
Carcinoma,Undifferentiated Endocervical Sarcoma,1
Radiation Ionizing Radiotherapy,Primary Cutaneous Plasmablastic Lymphoma,1
Surrounding (qualifier value),Thymic Clear Cell Carcinoma,1
To,Metastatic Ductal Breast Carcinoma,1
Predominate,Giant cell angiofibroma,1
Lymphoid Tissue,Methotrexate-Associated Hodgkin Lymphoma,1
Percent of Abnormal Cells,Undifferentiated Endocervical Sarcoma,1
Antineoplastic Agents,Recurrent Testicular Lymphoma,1
described,Giant cell angiofibroma,1
How Often Weight Loss,Mucinous adenocarcinoma gastric,1
10%,FIGO Stage II Ovarian Cancer,1
Diagnosis Study,Precursor T-lymphoblastic lymphoma/leukemia stage III,1
Dominant,Recurrent Testicular Lymphoma,1
Observation of attack,Small Lymphocytic Lymphoma with Immunoglobulin Heavy Chain Variable-Region Gene Somatic Hypermutation,1
Tryptophanase,Precursor T-lymphoblastic lymphoma/leukemia stage III,1
Reported,Serous cystadenocarcinoma ovary,1
Gram per Deciliter,Recurrent Testicular Lymphoma,1
Estimated,Female Breast Carcinoma,1
Long-term Follow-up,Benign Carotid Body Paraganglioma,1
Cure (remedy),Acute Undifferentiated Leukemia,1
Negation,Female Breast Carcinoma,1
Tissue Type Code - Basal cell carcinoma,Testicular cancer metastatic,1
Requirement,Unfavorable Non-Hodgkin Lymphoma,1
Disease Response,Female Breast Carcinoma,1
diagnosis aspect,Metastatic Ductal Breast Carcinoma,1
Cancer Other,Extra-Adrenal Paraganglioma,1
Overall Well Being,Adult Hepatocellular Carcinoma,1
Type A,Malignant melanoma of eyelid,1
International Classification of Disease,Familial Hemophagocytic Lymphocytosis,1
Disease,Recurrent Uveal Melanoma,1
Adenocarcinoma,Bladder squamous cell carcinoma stage I,1
Cell (compartment),Small Lymphocytic Lymphoma with Immunoglobulin Heavy Chain Variable-Region Gene Somatic Hypermutation,1
Smaller,Recurrent Uveal Melanoma,1
60%,Human Papillomavirus-Related Carcinoma,1
Microvolt,Recurrent Uveal Melanoma,1
Possibly Related to Intervention,Refractory Barrett Esophagus,1
Increased,Female Breast Carcinoma,1
Original Regulatory Submission,Testicular cancer metastatic,1
VARIOUS DRUG CLASSES IN ATC,Extra-Adrenal Paraganglioma,1
Presentation,Recurrent Testicular Lymphoma,1
Metabolic Syndrome X,Adult Hepatocellular Carcinoma,1
Deterioration of status,FIGO Stage II Ovarian Cancer,1
Red color,Maxillary Sinus Adenocarcinoma,1
Severe (severity modifier),Heavy Chain Deposition Disease,1
Cancer Etiology,Precursor T-lymphoblastic lymphoma/leukemia stage III,1
Incidence,Benign Carotid Body Paraganglioma,1
Tryptophanase,Malignant Testicular Sertoli Cell Tumor,1
described,Refractory Barrett Esophagus,1
Version (morphologic abnormality),Familial Hemophagocytic Lymphocytosis,1
Slow Growing,adenoid cystic carcinoma of lung,1
Malignant Neoplasms,Pathologic Stage IA Cutaneous Melanoma AJCC v8,1
>90,Recurrent Ph-Like Acute Lymphoblastic Leukemia,1
Hemorrhage,Angiosarcoma of liver,1
Pediculus (eukaryote),Rhabdomyosarcoma with ganglionic differentiation,1
Disease,Pancreatic Intraepithelial Neoplasia-3,1
Symptoms aspect,Undifferentiated Endocervical Sarcoma,1
Providing presence (regime/therapy),Anterior Urethral Malignant Neoplasm,1
Approximate,Clonal Hematopoiesis of Indeterminate Potential,1
Infection,Recurrent Ph-Like Acute Lymphoblastic Leukemia,1
Medical Device Emits Smoke,Mucinous adenocarcinoma gastric,1
Malignant epithelioma,Female Breast Carcinoma,1
Type A,Adult Alveolar Soft Part Sarcoma,1
Macrophage Activation Syndrome,Pancreatic Intraepithelial Neoplasia-3,1
Group Object,Metastatic Ductal Breast Carcinoma,1
Continuance of life,Benign Carotid Body Paraganglioma,1
Approximate,Human Papillomavirus-Related Carcinoma,1
Pediculus (eukaryote),Leptomeningeal sarcoma,1
Disease,Acute Undifferentiated Leukemia,1
Pure Spanish horse breed (organism),Lung squamous cell carcinoma stage I,1
various allergen extracts,Benign Carotid Body Paraganglioma,1
Diagnosis Study,Localized Askin Tumor,1
Symptoms,Human Papillomavirus-Related Carcinoma,1
Primary malignant neoplasm,Spermatocytic seminoma,1
Type A,Giant cell angiofibroma,1
Rare,Serous cystadenocarcinoma ovary,1
Characteristics,benign mature teratoma of pancreas,1
New,de novo Myelodysplastic Syndrome,1
Tumor Suppression,BRCA2 Syndrome,1
Severe (severity modifier),Hodgkin lymphoma,1
Mutation,FIGO Stage II Ovarian Cancer,1
Supine Position,Refractory Barrett Esophagus,1
White Blood Cell Count procedure,Precursor T-lymphoblastic lymphoma/leukemia stage III,1
Uterine Cancer,Undifferentiated Endocervical Sarcoma,1
Patients,adenoid cystic carcinoma of lung,1
Associated with,Pilocytic astrocytoma of cerebellum,1
high - ActExposureLevelCode,Acantholytic squamous cell carcinoma,1
Greater,Malignant melanoma of eyelid,1
Human Cells,adenosquamous carcinoma of breast,1
Diagnosis,Acute Undifferentiated Leukemia,1
Used by,Human Papillomavirus-Related Carcinoma,1
Present,mucinous adenocarcinoma of gallbladder,1
Cessation of life,Human Papillomavirus-Related Carcinoma,1
Biospecimen,Undifferentiated Endocervical Sarcoma,1
% live,Diffuse malignant mesothelioma,1
Primary malignant neoplasm,adenosquamous carcinoma of breast,1
Poverty,Refractory Barrett Esophagus,1
Lymphatic Spread,mucinous adenocarcinoma of gallbladder,1
Five-year Survival Rate,Bladder squamous cell carcinoma stage I,1
Paraneoplastic Syndromes,Metastatic Neoplasm to the Gallbladder,1
Malignant Neoplasms,Acantholytic squamous cell carcinoma,1
Smaller,Mucinous adenocarcinoma gastric,1
Immature,Thymic Clear Cell Carcinoma,1
Probability,Clonal Hematopoiesis of Indeterminate Potential,1
Biologic Development,Tonsillar Carcinoma,1
Diagnosis Study,Bladder squamous cell carcinoma stage I,1
Sweating,Methotrexate-Associated Hodgkin Lymphoma,1
Part of,Sarcomatoid Renal Cell Carcinoma,1
Absence (morphologic abnormality),Breast Ductal Adenoma,1
Primary malignant neoplasm,Testicular cancer metastatic,1
Increasing,Undifferentiated Endocervical Sarcoma,1
Arising in,Thymic Clear Cell Carcinoma,1
Stage Grouping,Neonatal leukemia,1
To,Epipodophyllotoxin-Related Myelodysplastic Syndrome,1
Common (qualifier value),Malignant Testicular Sertoli Cell Tumor,1
Subject Risk,Mucinous adenocarcinoma gastric,1
